6.24 Ratios,"6.24 a razon, de proporción",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requires student to solve a problem using ratios with specified scaffolded steps.,Requiere que el estudiante resuelva un problema usando proporciones con pasos específicos con andamios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show Your Work,Muestra tu trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Answers,Respuestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
given,dadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Problem Name,Problem 1,Problem1-ESP,Problem 2,Problem2-ESP,Problem 3,Problem3-ESP,Problem 12,Problem12-ESP,Problem 13,Problem13-ESP,Problem 14,Problem14-ESP,Problem 15,Problem15-ESP,Problem 21,Problem21-ESP,Problem 4,Problem4-ESP,Problem 5,Problem5-ESP,Problem 6,Problem6-ESP,Problem 7,Problem7-ESP,Problem 8,Problem8-ESP,Problem 9,Problem9-ESP,Problem 10,Problem10-ESP,Problem 11,Problem11-ESP,Problem 16,Problem16-ESP,Problem 17,Problem17-ESP,Problem 18,Problem18-ESP,Problem 19,Problem19-ESP,Problem 20,Problem20-ESP
%(hint42)%,What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",,,,,,,,,What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,
%(hint43)%,Please enter '20' in the highlighted field.,"Por favor, ingrese '20' en el campo resaltado.",Please enter '18' in the highlighted field.,"Por favor, ingrese '18' en el campo resaltado.",Please enter '5' in the highlighted field.,"Por favor, ingrese '5' en el campo resaltado.",Please enter '7' in the highlighted field.,"Por favor, ingrese '7' en el campo resaltado.",Please enter '3' in the highlighted field.,"Por favor, ingrese '3' en el campo resaltado.",Please enter '5' in the highlighted field.,"Por favor, ingrese '5' en el campo resaltado.",Please enter '1826' in the highlighted field.,"¿Qué número le dio el paso ""mostrar su trabajo""?",Please enter '17' in the highlighted field.,"Por favor, ingrese '17' en el campo resaltado.",,,,,,,,,Please enter '2' in the highlighted field.,"Por favor, ingrese '2' en el campo resaltado.",Please enter '3' in the highlighted field.,,Please enter '90' in the highlighted field.,,Please enter '15' in the highlighted field.,,Please enter '5' in the highlighted field.,,Please enter '20' in the highlighted field.,,Please enter '4' in the highlighted field.,,Please enter '25' in the highlighted field.,,Please enter '6' in the highlighted field.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%(hint51)%,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,,,,,,,,,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,
%(hint52)%,Try multiplying your previous answer by the number of parts already driven.,Intente multiplicar su respuesta anterior por el número de partes ya manejadas.,Try multiplying your previous answer by the number of total parts of his workout.,Intente multiplicar su respuesta anterior por el número total de partes de su entrenamiento.,Try multiplying your previous answer by 4.,Intente multiplicar su respuesta anterior por 4.,Try multiplying your previous answer by 7.,Intente multiplicar su respuesta anterior por 7.,Try multiplying your previous answer by 5.,Intente multiplicar su respuesta anterior por 5.,Try multiplying your previous answer by 10.,Intente multiplicar su respuesta anterior por 10.,Try multiplying your previous answer by 3.,Intente multiplicar su respuesta anterior por 3.,Try multiplying your previous answer by the total number of parts into which the boxes of cookies have been divided.,Intente multiplicar su respuesta anterior por el número total de partes en las que se han dividido las cajas de galletas.,,,,,,,,,Try multiplying your previous answer by the number of parts of the ride that Amy has completed.,Intente multiplicar su respuesta anterior por la cantidad de partes del viaje que Amy ha completado.,Try multiplying your previous answer by the number of parts of the problems completed.,,Try multiplying your previous answer by the number of parts of water already in the pool.,,Try multiplying your previous answer by the number of parts of the fence already painted.,,Try multiplying your previous answer by the number of parts of points already scored.,,Try multiplying your previous answer by the number of parts of pounds already eaten.,,Try multiplying your previous answer by the number of parts of minutes already completed.,,Try multiplying your previous answer by the number of parts of copies already made.,,Try multiplying your previous answer by the number of parts of brownies already made.,
%(hint53)%,Please enter '20*10' in the highlighted field.,"Por favor, ingrese '20 * 10 'en el campo resaltado.",Please enter '18*5' in the highlighted field.,"Por favor, ingrese '18 * 5 'en el campo resaltado.",Please enter '5*4' in the highlighted field.,"Por favor, ingrese '5 * 4' en el campo resaltado.",Please enter '7*7' in the highlighted field.,"Por favor, ingrese '7*7' en el campo resaltado.",Please enter '3*5' in the highlighted field.,"Por favor, ingrese '3 * 5' en el campo resaltado.",Please enter '5*10' in the highlighted field.,"Por favor, ingrese '5*10' en el campo resaltado.",Please enter '1826*3' in the highlighted field.,"Por favor, ingrese '1826 * 3' en el campo resaltado.",Please enter '17*15' in the highlighted field.,"Por favor, ingrese '17 * 15 'en el campo resaltado.",,,,,,,,,Please enter '2*2 in the highlighted field.,"Por favor, ingrese '2 * 2 en el campo resaltado.",Please enter '5*3' in the highlighted field.,,Please enter '90*5' in the highlighted field.,,Please enter '15*2' in the highlighted field.,,Please enter '5*4' in the highlighted field.,,Please enter '20*5' in the highlighted field.,,Please enter '4*5' in the highlighted field.,,Please enter '25*15' in the highlighted field.,,Please enter '6*3' in the highlighted field.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%(hint61)%,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,,,,,,,,,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,
%(hint62)%,What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",,,,,,,,,What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,
%(hint63)%,Please enter '200' in the highlighted field.,"Por favor, ingrese '200' en el campo resaltado.",Please enter '90' in the highlighted field.,"Por favor, ingrese '90' en el campo resaltado.",Please enter '20' in the highlighted field.,"Por favor, ingrese '20' en el campo resaltado.",Please enter '49' in the highlighted field.,"Por favor, introduzca '49' en el campo resaltado.",Please enter '15' in the highlighted field.,"Por favor, introduzca '15' en el campo resaltado.",Please enter '50' in the highlighted field.,"Por favor, ingrese '50' en el campo resaltado.",Please enter '5478' in the highlighted field.,"Por favor, ingrese '5478' en el campo resaltado.",Please enter '255' in the highlighted field.,"Por favor, introduzca '255' en el campo resaltado.",,,,,,,,,Please enter '4' in the highlighted field.,"Por favor, ingrese '4' en el campo resaltado.",Please enter '15' in the highlighted field.,,Please enter '450' in the highlighted field.,,Please enter '30' in the highlighted field.,,Please enter '20' in the highlighted field.,,Please enter '100' in the highlighted field.,,Please enter '20' in the highlighted field.,,Please enter '375' in the highlighted field.,,Please enter '18' in the highlighted field.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%(hint71)%,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,,,,,,,,,What mathematical expression should you use to solve this problem?,¿Qué expresión matemática deberías usar para resolver este problema?,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,,What mathematical expression should you use to solve this problem?,
%(hint72)%,Try subtracting one of the givens from your previous answer.,Intente restar uno de los datos de su respuesta anterior.,Try subtracting your previous answer from one of the givens.,Intente restar su respuesta anterior de uno de los dados.,Try subtracting one of the givens from your previous answer.,Intente restar uno de los datos de su respuesta anterior.,Try subtracting one of the givens from your previous answer.,Intente restar uno de los datos de su respuesta anterior.,Try subtracting one of the givens from your previous answer.,Intente restar uno de los datos de su respuesta anterior.,Try subtracting one of the givens from your previous answer.,Intente restar uno de los datos de su respuesta anterior.,Try subtracting one of the givens from your previous answer.,Intente restar uno de los datos de su respuesta anterior.,Try subtracting your previous answer from one of the givens.,Intente restar su respuesta anterior de uno de los dados.,,,,,,,,,Try subtracting your previous answer from one of the givens.,Intente restar su respuesta anterior de uno de los dados.,Try subtracting your previous answer from one of the givens.,,Try subtracting one of the givens and  your previous answer.,,Try subtracting your previous answer from one of the givens.,,Try subtracting your previous answer from one of the givens.,,Try subtracting your previous answer from one of the givens.,,Try subtracting your previous answer from one of the givens.,,Try subtracting your previous answer from one of the givens.,,Try subtracting your previous answer from one of the givens.,
%(hint73)%,Please enter '200-140' in the highlighted field.,"Por favor, ingrese '200-140' en el campo resaltado.",Please enter '90-72' in the highlighted field.,"Por favor, ingrese '90-72 'en el campo resaltado.",Please enter '20-15' in the highlighted field.,"Por favor, introduzca '20-15 'en el campo resaltado.",Please enter '49-42' in the highlighted field.,"Por favor, ingrese '49-42 'en el campo resaltado.",Please enter '15-9' in the highlighted field.,"Por favor, ingrese '15 -9 'en el campo resaltado.",Please enter '50-45' in the highlighted field.,"Por favor, ingrese '50-45 'en el campo resaltado.",Please enter '5478-3652' in the highlighted field.,"Por favor, ingrese '5478-3652' en el campo resaltado.",Please enter '255-187' in the highlighted field.,"Por favor, ingrese '255-187' en el campo resaltado.",,,,,,,,,Please enter '6-4' in the highlighted field.,"Por favor, ingrese '6-4' en el campo resaltado.",Please enter '27-15' in the highlighted field.,,Please enter '720-450' in the highlighted field.,,Please enter '45-30' in the highlighted field.,,Please enter '25-20' in the highlighted field.,,Please enter '120-100' in the highlighted field.,,Please enter '32-20' in the highlighted field.,,Please enter '400-375' in the highlighted field.,,Please enter '60-18' in the highlighted field.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%(hint81)%,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,,,,,,,,,What's the answer to the mathematical expression you used in the previous step?,¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,,What's the answer to the mathematical expression you used in the previous step?,
%(hint82)%,What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",,,,,,,,,What number did the 'show your work' step give you?,"¿Qué número le dio el paso ""mostrar su trabajo""?",What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,,What number did the 'show your work' step give you?,
%(hint83)%,Please enter '60' in the highlighted field.,"Por favor, ingrese '60' en el campo resaltado.",Please enter '18' in the highlighted field.,"Por favor, ingrese '18' en el campo resaltado.",Please enter '5' in the highlighted field.,"Por favor, ingrese '5' en el campo resaltado.",Please enter '7' in the highlighted field.,"Por favor, ingrese '7' en el campo resaltado.",Please enter '6' in the highlighted field.,"Por favor, ingrese '6' en el campo resaltado.",Please enter '5' in the highlighted field.,"Por favor, ingrese '5' en el campo resaltado.",Please enter '1826' in the highlighted field.,"Por favor, ingrese '1826' en el campo resaltado.",Please enter '68' in the highlighted field.,Por favor ingrese '68' en el campo resaltado.,,,,,,,,,Please enter '2' in the highlighted field.,"Por favor, ingrese '2' en el campo resaltado.",Please enter '12' in the highlighted field.,,Please enter '270' in the highlighted field.,,Please enter '15' in the highlighted field.,,Please enter '5' in the highlighted field.,,Please enter '20' in the highlighted field.,,Please enter '12' in the highlighted field.,,Please enter '25' in the highlighted field.,,Please enter '42' in the highlighted field.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%(expression1)%,140/7,140/7,72/4,72/4,15/3,15/3,42/6,42/6,9/3,9/3,45/9,45/9,3652/2,3652/2,187/11,187/11,,,,,,,,,6-4,6-4,27-15,,720-450,,45-30,,25-20,,120-100,,32-20,,400-375,,60-18,
%(expression2)%,20*10,20*10,18*5,18*5,5*4,5*4,7*7,7*7,3*5,3*5,5*10,5*10,1826*3,1826*3,17*15,17*15,,,,,,,,,2,2,12,,270,,15,,5,,20,,12,,25,,42,
%(expression3)%,200-140,200-140,90-72,90-72,20-15,20-15,49-42,49-42,15-9,15-9,50-45,50-45,5478-3652,5478-3652,255-187,255-187,,,,,,,,,,,,,,,,,,,,,,,,,,
%(value1)%,20,20,18,18,5,5,7,7,3,3,5,5,1826,1826,17,17,,,,,,,,,Enter_given_total,Ingrese_el_total_dado,Enter_given_total,Ingrese_el_total_dado,Enter_given_total,Ingrese_el_total_dado,Enter_given_total,Ingrese_el_total_dado,Enter_given_total,Ingrese_el_total_dado,Enter_given_total,Ingrese_el_total_dado,Enter_given_total,Ingrese_el_total_dado,Enter_given_total,Ingrese_el_total_dado,Enter_given_total,Ingrese_el_total_dado
%(value2)%,200,200,90,90,20,20,49,49,15,15,50,50,5472,5472,255,255,,,,,,,,,Enter_given_ratio,Ingrese_la_proporción_dada,Enter_given_ratio,Ingrese_la_proporción_dada,Enter_given_ratio,Ingrese_la_proporción_dada,Enter_given_ratio,Ingrese_la_proporción_dada,Enter_given_ratio,Ingrese_la_proporción_dada,Enter_given_ratio,Ingrese_la_proporción_dada,Enter_given_ratio,Ingrese_la_proporción_dada,Enter_given_ratio,Ingrese_la_proporción_dada,Enter_given_ratio,Ingrese_la_proporción_dada
%(value3)%,60,60,18,18,5,5,7,7,6,6,5,5,1826,1826,68,68,,,,,,,,,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte
,,,,,,,,,,,,,,,,,,,,,,,,,Solve_for_one_part,Resolver_para_una_parte,Solve_for_one_part,Resolver_para_una_parte,Solve_for_one_part,Resolver_para_una_parte,Solve_for_one_part,Resolver_para_una_parte,Solve_for_one_part,Resolver_para_una_parte,Solve_for_one_part,Resolver_para_una_parte,Solve_for_one_part,Resolver_para_una_parte,Solve_for_one_part,Resolver_para_una_parte,Solve_for_one_part,Resolver_para_una_parte
%(given_skill1)%,Enter_given_part,Ingrese_la_parte_dada,Enter_given_part,Ingrese_la_parte_dada,Enter_given_part,Ingrese_la_parte_dada,Enter_given_part,Ingrese_la_parte_dada,Enter_given_part,Ingrese_la_parte_dada,Enter_given_part,Ingrese_la_parte_dada,Enter_given_part,Ingrese_la_parte_dada,Enter_given_part,Ingrese_la_parte_dada,,,,,,,,,Write_expression_for_part,Escribir_expresión_para_parte,Write_expression_for_part,Escribir_expresión_para_parte,Write_expression_for_part,Escribir_expresión_para_parte,Write_expression_for_part,Escribir_expresión_para_parte,Write_expression_for_part,Escribir_expresión_para_parte,Write_expression_for_part,Escribir_expresión_para_parte,Write_expression_for_part,Escribir_expresión_para_parte,Write_expression_for_part,Escribir_expresión_para_parte,Write_expression_for_part,Escribir_expresión_para_parte
%(given_skill2)%,Enter_given_ratio,Ingrese_la_proporción_dada,Enter_given_ratio,Ingrese_la_proporción_dada,Enter_given_ratio,Ingrese_la_proporción_dada,Enter_given_ratio,Ingrese_la_proporción_dada,Enter_given_ratio,Ingrese_la_proporción_dada,Enter_given_ratio,Ingrese_la_proporción_dada,Enter_given_ratio,Ingrese_la_proporción_dada,Enter_given_ratio,Ingrese_la_proporción_dada,,,,,,,,,Solve_for_part,Resolver_por_parte,Solve_for_part,Resolver_por_parte,Solve_for_part,Resolver_por_parte,Solve_for_part,Resolver_por_parte,Solve_for_part,Resolver_por_parte,Solve_for_part,Resolver_por_parte,Solve_for_part,Resolver_por_parte,Solve_for_part,Resolver_por_parte,Solve_for_part,Resolver_por_parte
%(show_work_skill1)%,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte,Write_expression_for_one_part,Escribe_la_expresión_de_una_parte,,,,,,,,,Write_expression_for_remaining,Escribir_expresión_para_restante,Write_expression_for_remaining,Escribir_expresión_para_restante,Write_expression_for_remaining,Escribir_expresión_para_restante,Write_expression_for_remaining,Escribir_expresión_para_restante,Write_expression_for_remaining,Escribir_expresión_para_restante,Write_expression_for_remaining,Escribir_expresión_para_restante,Write_expression_for_remaining,Escribir_expresión_para_restante,Write_expression_for_remaining,Escribir_expresión_para_restante,Write_expression_for_remaining,Escribir_expresión_para_restante
%(answer_skill1)%,Solve_for_one_part,Resuelve_para_una_parte,Solve_for_one_part,Resuelve_para_una_parte,Solve_for_one_part,Resuelve_para_una_parte,Solve_for_one_part,Resuelve_para_una_parte,Solve_for_one_part,Resuelve_para_una_parte,Solve_for_one_part,Resuelve_para_una_parte,Solve_for_one_part,Resuelve_para_una_parte,Solve_for_one_part,Resuelve_para_una_parte,,,,,,,,,Solve_for_remaining,Resolver_para_restante,Solve_for_remaining,Resolver_para_restante,Solve_for_remaining,Resolver_para_restante,Solve_for_remaining,Resolver_para_restante,Solve_for_remaining,Resolver_para_restante,Solve_for_remaining,Resolver_para_restante,Solve_for_remaining,Resolver_para_restante,Solve_for_remaining,Resolver_para_restante,Solve_for_remaining,Resolver_para_restante
%(show_work_skill2)%,Write_expression_for_total,Escribe_la_expresión_para_el_total,Write_expression_for_total,Escribe_la_expresión_para_el_total,Write_expression_for_total,Escribe_la_expresión_para_el_total,Write_expression_for_total,Escribe_la_expresión_para_el_total,Write_expression_for_total,Escribe_la_expresión_para_el_total,Write_expression_for_total,Escribe_la_expresión_para_el_total,Write_expression_for_total,Escribe_la_expresión_para_el_total,Write_expression_for_total,Escribe_la_expresión_para_el_total,,,,,,,,,,,,,,,,,,,,,,,,,,
%(answer_skill2)%,Solve_for_total,Resolver_para_total,Solve_for_total,Resolver_para_total,Solve_for_total,Resolver_para_total,Solve_for_total,Resolver_para_total,Solve_for_total,Resolver_para_total,Solve_for_total,Resolver_para_total,Solve_for_total,Resolver_para_total,Solve_for_total,Resolver_para_total,,,,,,,,,Enter given total,Ingrese el total dado,Enter given total,Ingrese el total dado,Enter given total,Ingrese el total dado,Enter given total,Ingrese el total dado,Enter given total,Ingrese el total dado,Enter given total,Ingrese el total dado,Enter given total,Ingrese el total dado,Enter given total,Ingrese el total dado,Enter given total,Ingrese el total dado
%(show_work_skill3)%,Write_expression_for_remaining,Escribir_expresión_para_restante,Write_expression_for_remaining,Escribir_expresión_para_restante,Write_expression_for_remaining,Escribir_expresión_para_restante,Write_expression_for_remaining,Escribir_expresión_para_restante,Write_expression_for_remaining,Escribir_expresión_para_restante,Write_expression_for_remaining,Escribir_expresión_para_restante,Write_expression_for_remaining,Escribir_expresión_para_restante,Write_expression_for_remaining,Escribir_expresión_para_restante,,,,,,,,,Enter given ratio,Ingrese la proporción dada,Enter given ratio,Ingrese la proporción dada,Enter given ratio,Ingrese la proporción dada,Enter given ratio,Ingrese la proporción dada,Enter given ratio,Ingrese la proporción dada,Enter given ratio,Ingrese la proporción dada,Enter given ratio,Ingrese la proporción dada,Enter given ratio,Ingrese la proporción dada,Enter given ratio,Ingrese la proporción dada
%(answer_skill3)%,Solve_for_remaining,Resolver_para_restante,Solve_for_remaining,Resolver_para_restante,Solve_for_remaining,Resolver_para_restante,Solve_for_remaining,Resolver_para_restante,Solve_for_remaining,Resolver_para_restante,Solve_for_remaining,Resolver_para_restante,Solve_for_remaining,Resolver_para_restante,Solve_for_remaining,Resolver_para_restante,,,,,,,,,Show work for part,Mostrar trabajo por parte,Show work for part,Mostrar trabajo por parte,Show work for part,Mostrar trabajo por parte,Show work for part,Mostrar trabajo por parte,Show work for part,Mostrar trabajo por parte,Show work for part,Mostrar trabajo por parte,Show work for part,Mostrar trabajo por parte,Show work for part,Mostrar trabajo por parte,Show work for part,Mostrar trabajo por parte
,,,,,,,,,,,,,,,,,,,,,,,,,Solve for part,Resolver por parte,Solve for part,Resolver por parte,Solve for part,Resolver por parte,Solve for part,Resolver por parte,Solve for part,Resolver por parte,Solve for part,Resolver por parte,Solve for part,Resolver por parte,Solve for part,Resolver por parte,Solve for part,Resolver por parte
%(given_skill1_shown)%,Enter given part,Ingrese la parte dada,Enter given part,Ingrese la parte dada,Enter given part,Ingrese la parte dada,Enter given part,Ingrese la parte dada,Enter given part,Ingrese la parte dada,Enter given part,Ingrese la parte dada,Enter given part,Ingrese la parte dada,Enter given part,Ingrese la parte dada,,,,,,,,,Show work for given part,Mostrar trabajo para una parte determinada,Show work for given part,Mostrar trabajo para una parte determinada,Show work for given part,Mostrar trabajo para una parte determinada,Show work for given part,Mostrar trabajo para una parte determinada,Show work for given part,Mostrar trabajo para una parte determinada,Show work for given part,Mostrar trabajo para una parte determinada,Show work for given part,Mostrar trabajo para una parte determinada,Show work for given part,Mostrar trabajo para una parte determinada,Show work for given part,Mostrar trabajo para una parte determinada
