,6.20 Fraction Ordering,6.20 Orden de fracciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%(8459510099633682054)%,Work with fraction less then 1,Trabajar con una fracción menor a 1,%(8047277406743110315)%,Enter 3 into the box and press OK.,Ingrese 3 en el cuadro y presione OK.,%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(-3781844779290652267)%,Christian and Miranda both go to Carmite Middle School. They measured the distance between their home and the school to figure out who lives closer to the school. Use the number line to find out.,Christian y Miranda van a la escuela secundaria Carmite. Midieron la distancia entre su casa y la escuela para averiguar quién vive más cerca de la escuela. Usa la recta numérica para averiguarlo.,%(-9026882106333505332)%,Enter 2 into the box and press OK.,Ingrese 2 en el cuadro y presione OK.,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(8047277406743110315)%,Enter 3 into the box and press OK.,Ingrese 3 en el cuadro y presione OK.,%(6272018864)%,1,1,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(-7530323687219411018)%,Enter 4 into the box and press OK.,Ingrese 4 en el cuadro y presione OK.,%(-3167637609842389060)%,Work with fraction greater then 1,Trabajar con una fracción mayor que 1,%(5915731288338457698)%,"4/3. 5/3 means '5 out of 3 equal pieces'. So start at ""0"" and then move over 5 pieces to the right.","4/3. 5/3 significa '5 de 3 piezas iguales'. Así que empieza en ""0"" y luego mueve 5 piezas hacia la derecha.",%(6272037681056608)%,11,11,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(-3167637609842389060)%,Work with fraction greater then 1,Trabajar con una fracción mayor que 1,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(-7530323687219411018)%,Enter 4 into the box and press OK.,Ingrese 4 en el cuadro y presione OK.,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.
%(6272018864)%,1,1,%(-2503150646638171371)%,"Katie and Franklin each brought a piece of cheese to the school picnic. Katie and Franklin brought different types of cheese so it looks like they brought the same amount, but not necessarily the same weight. Katie claims that her cheese is heavier. Is this true?","Katie y Franklin llevaron cada uno un trozo de queso al picnic de la escuela. Katie y Franklin trajeron diferentes tipos de queso, por lo que parece que trajeron la misma cantidad, pero no necesariamente el mismo peso. Katie afirma que su queso es más pesado. ¿Es esto cierto?",%(7130762518572994487)%,"4/6. 5/6 means '5 out of 6 equal pieces'. So start at ""0"" and then move over 5 pieces to the right.","4/6. 5/6 significa '5 de 6 piezas iguales'. Así que empieza en ""0"" y luego mueve 5 piezas hacia la derecha.",%(-6153563516882617869)%,"3/10. 4/10 means '4 out of 10 equal pieces'. So start at ""0"" and then move over 4 pieces to the right.","3/10. 4/10 significa '4 de cada 10 piezas iguales'. Así que empieza en ""0"" y luego muévete 4 piezas hacia la derecha.",%(6272018864)%,1,1,%(6306456813645929387)%,Who has painted more fence?,¿Quién ha pintado más valla?,%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(6829193904362262350)%,Who has eaten less of their pie?,¿Quién ha comido menos de su pastel?,%(-826110741952210927)%,The larger fraction is placed on the number line for the Completion of Jeff's homework.,La fracción más grande se coloca en la recta numérica para completar la tarea de Jeff.,%(506322162329832067)%,Both ate the same amount of their pizza.,Ambos comieron la misma cantidad de pizza.,%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(8047277406743110315)%,Enter 3 into the box and press OK.,Ingrese 3 en el cuadro y presione OK.,%(8081750194744192686)%,The smaller fraction is placed on the number line for the Pound of Jaime's candy.,La fracción más pequeña se coloca en la recta numérica de la libra de dulces de Jaime.,%(-3556119718056303979)%,"1 can be written as a fraction with any denominator, as long as the numerator is equal, like this: ""1/1"", ""2/2"", ""3/3"", and etc.","1 se puede escribir como una fracción con cualquier denominador, siempre que el numerador sea igual, así: ""1/1"", ""2/2"", ""3/3"", etc.",%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(3775220929218453709)%,The fraction 10/5 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 10/5 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(-3167637609842389060)%,Work with fraction greater then 1,Trabajar con una fracción mayor que 1
%(1018003809050626517)%,"0/4. 1/4 means '1 out of 4 equal pieces'. So start at ""0"" and then move over 1 pieces to the right.","0/4. 1/4 significa '1 de cada 4 piezas iguales'. Así que empieza en ""0"" y luego mueve 1 pieza hacia la derecha.",%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(1961320967313442748)%,Compare the fraction above Which fraction is larger?,Compara la fracción anterior ¿Qué fracción es más grande?,%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(-1349354011829097841)%,"Shandell and Nicole are not the same height, but they both grew quite a lot since they started sixth grade this year. They are comparing their amount of growth to see who has grown more. Use the number line to find out.","Shandell y Nicole no tienen la misma estatura, pero ambas crecieron bastante desde que comenzaron sexto grado este año. Están comparando su cantidad de crecimiento para ver quién ha crecido más. Usa la recta numérica para averiguarlo.",%(8047277406743110315)%,Enter 3 into the box and press OK.,Ingrese 3 en el cuadro y presione OK.,%(1961320967313442748)%,Compare the fraction above Which fraction is larger?,Compara la fracción anterior ¿Qué fracción es más grande?,%(8047277406743110315)%,Enter 3 into the box and press OK.,Ingrese 3 en el cuadro y presione OK.,%(-4340709941611810965)%,5/8,5/8,%(8047277406743110315)%,Enter 3 into the box and press OK.,Ingrese 3 en el cuadro y presione OK.,%(-5106535011175988342)%,Who has eaten more pizza?,¿Quién ha comido más pizza?,%(1961320967313442748)%,Compare the fraction above Which fraction is larger?,Compara la fracción anterior ¿Qué fracción es más grande?,%(-9165358454651362871)%,What is the numerator of the fraction 13/10? The numerator represents the number of parts you should count.,¿Cuál es el numerador de la fracción 13/10? El numerador representa la cantidad de partes que debe contar.,%(-5250848460817790728)%,Pound of Jaime's candy,Libra de caramelos de Jaime,%(-3167637609842389060)%,Work with fraction greater then 1,Trabajar con una fracción mayor que 1,%(1961320967313442748)%,Compare the fraction above Which fraction is larger?,Compara la fracción anterior ¿Qué fracción es más grande?,%(6272037681056608)%,11,11,%(-7334067092014744725)%,Hours Amy searched,Horas que Amy buscó,%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.
%(-7530323687219411018)%,Enter 4 into the box and press OK.,Ingrese 4 en el cuadro y presione OK.,%(1961320967313442748)%,Compare the fraction above Which fraction is larger?,Compara la fracción anterior ¿Qué fracción es más grande?,%(-2088598916590095276)%,3/5,3/5,%(6272037681056609)%,10,10,%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(8642998734400336073)%,Lamara ate 2/3 of his sandwich.,Lamara se comió 2/3 de su sándwich.,%(5194205000426948328)%,Mile John swam,Mile John nadó,%(-8028079708146668925)%,Count 6 part(s) from the left and click on the spot.,Cuente 6 partes desde la izquierda y haga clic en el lugar.,%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(1289567620942478282)%,0/4,0/4,%(8591131172234214981)%,The larger fraction is placed on the number line for the Time Christin ran.,La fracción más grande se coloca en la recta numérica del Tiempo que corrió Christin.,%(-3167637609842389060)%,Work with fraction greater then 1,Trabajar con una fracción mayor que 1,%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(-3167637609842389060)%,Work with fraction greater then 1,Trabajar con una fracción mayor que 1,%(-8028079708146668925)%,Count 6 part(s) from the left and click on the spot.,Cuente 6 partes desde la izquierda y haga clic en el lugar.,%(-603933105604122253)%,Who was working longer?,¿Quién estuvo trabajando más tiempo?
%(-282080413988023045)%,Press OK to check to see if you divided your line correctly! Or correct your division if it is wrong.,Presione OK para verificar si dividió su línea correctamente. O corrija su división si es incorrecta.,%(-7683713716532700358)%,Weight of Franklin's cheese,Peso del queso Franklin,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(-3067377562847766892)%,Who lives closer to school?,¿Quién vive más cerca de la escuela?,%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(-904478169863450365)%,Find a value on the number line,Encuentra un valor en la recta numérica,%(-5613042958509788255)%,The larger fraction is placed on the number line for the Amount Lamara ate.,La fracción más grande se coloca en la recta numérica de la cantidad que comió Lamara.,%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(1961320967313442748)%,Compare the fraction above Which fraction is larger?,Compara la fracción anterior ¿Qué fracción es más grande?,%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(-4340709941611810976)%,5/3,5/3,%(844172061765527393)%,"8/8. 9/8 means '9 out of 8 equal pieces'. So start at ""0"" and then move over 9 pieces to the right.","8/8. 9/8 significa '9 de 8 piezas iguales'. Así que empieza en ""0"" y luego mueve 9 piezas hacia la derecha.",%(-5184017877858906552)%,"The problem did not give you a fraction for this line, but a number, ""1"". How would you think of it as a fraction?","El problema no le dio una fracción para esta línea, sino un número, ""1"". ¿Cómo lo consideraría una fracción?",%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(-3167637609842389060)%,Work with fraction greater then 1,Trabajar con una fracción mayor que 1,%(1961320967313442748)%,Compare the fraction above Which fraction is larger?,Compara la fracción anterior ¿Qué fracción es más grande?
%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(-7450457220307827358)%,Daryl's paper chain is 5/6 feet long.,La cadena de papel de Daryl mide 5/6 pies de largo.,%(-5323571097983393908)%,4/10,4/10,%(-7431957962572798380)%,Who has grown more?,¿Quién ha crecido más?,%(1961320967313442748)%,Compare the fraction above Which fraction is larger?,Compara la fracción anterior ¿Qué fracción es más grande?,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(1961320967313442748)%,Compare the fraction above Which fraction is larger?,Compara la fracción anterior ¿Qué fracción es más grande?,%(-537804233202871368)%,Amount Dave has eaten,Cantidad que Dave ha comido,%(-962543404079237423)%,2/9,2/9,%(-962543404079237424)%,2/8,2/8,%(-1056821364872984651)%,Count 8 part(s) from the left and click on the spot.,Cuente 8 partes desde la izquierda y haga clic en el lugar.,%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(-7938237395537185818)%,Jaime has 11/10 pounds.,Jaime tiene 11/10 libras.,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(-4736471947791260401)%,Acid in Jason's flask,Ácido en el frasco de Jason,%(3340935741433077599)%,The fraction 11/6 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 11/6 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-7339165679045058382)%,"Enter %(den)% into the box, and click OK.",Ingrese %(den)% en el cuadro y haga clic en Aceptar.,%(-3679667384298289422)%,The larger fraction is placed on the number line for the Hours Alicia has been working.,La fracción más grande se coloca en la recta numérica de las horas que Alicia ha estado trabajando.
%(-6511585642799517047)%,Amount Levar read,Cantidad que leyó Levar,%(6153004439250273712)%,Is Katie right?,¿Katie tiene razón?,%(8459510099633682054)%,Work with fraction less then 1,Trabajar con una fracción menor a 1,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(1961320967313442748)%,Compare the fraction above Which fraction is larger?,Compara la fracción anterior ¿Qué fracción es más grande?,%(-2504673632117942526)%,Adam has painted 4/7 of the other side of the fence.,Adam ha pintado 4/7 del otro lado de la cerca.,%(-5027143065777408485)%,"1/4. 2/4 means '2 out of 4 equal pieces'. So start at ""0"" and then move over 2 pieces to the right.","1/4. 2/4 significa '2 de 4 piezas iguales'. Así que empieza en ""0"" y luego muévete 2 piezas hacia la derecha.",%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(-8083168696803143817)%,Jeff did 1/3 of his problems.,Jeff resolvió 1/3 de sus problemas.,%(1961320967313442748)%,Compare the fraction above Which fraction is larger?,Compara la fracción anterior ¿Qué fracción es más grande?,%(4338154170076675066)%,Enter 8 into the box and press OK.,Ingrese 8 en el cuadro y presione OK.,%(-5653978972392452163)%,Who lives farther from the school?,¿Quién vive más lejos de la escuela?,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. Cual es su numerador?,%(8428609837363179475)%,,,%(1961320967313442748)%,Compare the fraction above Which fraction is larger?,Compara la fracción anterior ¿Qué fracción es más grande?,%(-7730143898008141277)%,"5/4. 6/4 means '6 out of 4 equal pieces'. So start at ""0"" and then move over 6 pieces to the right.","5/4. 6/4 significa '6 de 4 piezas iguales'. Así que empieza en ""0"" y luego muévete 6 piezas hacia la derecha.",%(6566243646455714509)%,"4/4. 5/4 means '5 out of 4 equal pieces'. So start at ""0"" and then move over 5 pieces to the right.","4/4. 5/4 significa '5 de 4 piezas iguales'. Así que empieza en ""0"" y luego mueve 5 piezas hacia la derecha."
%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(-7287047225583646865)%,Kewana has painted 2/3 of one side of the fence.,Kewana ha pintado 2/3 de un lado de la cerca.,%(8459510099633682054)%,Work with fraction less then 1,Trabajar con una fracción menor a 1,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(8459510099633682054)%,Work with fraction less then 1,Trabajar con una fracción menor a 1,%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(-7124742330753413322)%,The fraction 2/8 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 2/8 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(-3214654429100953111)%,4/3,4/3,%(4461897972733738588)%,10/10,10/10,%(659473584112336879)%,10/9,10/9,,,,%(-8006969833990294429)%,Which Salad should Charlie eat?,¿Qué ensalada debería comer Charlie?,%(8793826530105101765)%,Evan has been searching for 6/4 hours.,Evan ha estado buscando durante 6/4 horas.,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.
%(-1226711959966461550)%,The smaller fraction is placed on the number line for the Amount Laura read.,La fracción más pequeña se coloca en la recta numérica de la cantidad que leyó Laura.,%(8459510099633682054)%,Work with fraction less then 1,Trabajar con una fracción menor a 1,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(8459510099633682054)%,Work with fraction less then 1,Trabajar con una fracción menor a 1,%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(2891797388591898773)%,Amount Adam painted,Cantidad que Adam pintó,%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(8459510099633682054)%,Work with fraction less then 1,Trabajar con una fracción menor a 1,%(4338154170076675066)%,Enter 8 into the box and press OK.,Ingrese 8 en el cuadro y presione OK.,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(1961320967313442748)%,Compare the fraction above Which fraction is larger?,Compara la fracción anterior ¿Qué fracción es más grande?,%(9079117543721290321)%,The fraction 9/8 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 9/8 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-8844931991687242506)%,9/9,9/9,%(659476584144336939)%,15/8,15/8,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(-3214654429100953106)%,4/4,4/4
%(1289567620942478283)%,0/5,0/5,%(-4807703108844628603)%,No. Katie is not right. The piece of cheese Franklin brought is heavier.,No. Katie no tiene razón. El trozo de queso que trajo Franklin es más pesado.,%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(8459510099633682054)%,Work with fraction less then 1,Trabajar con una fracción menor a 1,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(3909827545726005725)%,Who should the coach pick for the competition?,¿Quién debe elegir la entrenadora para la competencia?,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(163512108431620430)%,1/9,1/9,%(8459510099633682054)%,Work with fraction less then 1,Trabajar con una fracción menor a 1,%(-3909126612174698266)%,You are looking for,Estás buscando,%(318502780444289575)%,"Scott and Greg both are students at the Carmite Middle School. Scott thinks he is always late to school because he lives too far away. One day, they compared the distances they must travel to figure out who lives farther.","Scott y Greg son estudiantes de la escuela secundaria Carmite. Scott cree que siempre llega tarde a la escuela porque vive demasiado lejos. Un día, compararon las distancias que debían viajar para averiguar quién vive más lejos.",%(8428609837363179475)%,,,%(-772462789357119967)%,The fraction 10/9 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 10/9 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(659477584144336946)%,14/8,14/8,%(5046746881366534120)%,The fraction in this problem is %(frac)%. What is its numerator?,La fracción en este problema es %(frac)%. ¿Cual es su numerador?,%(8506637262563022934)%,The fraction 6/4 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.,La fracción 6/4 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.,%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.
%(1289567620942478282)%,0/4,0/4,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(-3909126612174698266)%,You are looking for,Estás buscando,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(4632142084865443032)%,Nicole's growth,El crecimiento de Nicole,%(8459510099633682054)%,Work with fraction less then 1,Trabajar con una fracción menor a 1,%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(8459510099633682054)%,Work with fraction less then 1,Trabajar con una fracción menor a 1,%(-334795092717104564)%,"Chris and Tracy each ordered a pizza for lunch, but for some reason, Chris's pizza was divided into 6 slices, and Tracy's pizza was divided into 4 slices. Regardless, they enjoyed their lunch. Use the number line to find out which student ate more pizza.","Chris y Tracy pidieron cada uno una pizza para el almuerzo, pero por alguna razón, la pizza de Chris se dividió en 6 porciones y la pizza de Tracy se dividió en 4 porciones. Independientemente, disfrutaron de su almuerzo. Use la recta numérica para averiguar qué estudiante comió más pizza.",%(5760034605052020)%,-1,-1,%(-5964811981856885527)%,Into how many %(div-h1)% Enter the number and click OK.,En cuántos %(div-h1)% Ingrese el número y haga clic en Aceptar.,,,,%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(4338154170076675066)%,Enter 8 into the box and press OK.,Ingrese 8 en el cuadro y presione OK.,%(5685393325060509384)%,Todd has cut up 11/6 cantaloupes.,Todd ha cortado 11/6 melones.,%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.
%(-8317175499697153100)%,The numerator of %(frac)% is %(num)%. Count %(num)% parts from the left on the number line. Click on that mark.,El numerador de %(frac)% es %(num)%. Cuente %(num)% partes desde la izquierda en la recta numérica. Haga clic en esa marca.,%(163512108431620418)%,1/5,1/5,%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(786305787422666559)%,Christian lives 4/10 of a mile from the school.,Christian vive a 4/10 de milla de la escuela.,%(6272037681056611)%,12,12,%(-5600684207234320911)%,Amount Kewana painted,Cantidad que Kewana pintó,%(-3909126612174698266)%,You are looking for,Estás buscando,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(-3909126612174698266)%,You are looking for,Estás buscando,%(8428609837363179475)%,,,%(163512108431620419)%,1/4,1/4,%(3188970535566860697)%,Find the fraction in the problem. Click on the spot where the fraction would lie on the number line.,Calcula la fracción del problema. Haga clic en el lugar donde estaría la fracción en la recta numérica.,%(6104622620555456923)%,"12/10. 13/10 means '13 out of 10 equal pieces'. So start at ""0"" and then move over 13 pieces to the right.","12/10. 13/10 significa '13 de 10 piezas iguales'. Así que empieza en ""0"" y luego mueve 13 piezas hacia la derecha.",%(4338154170076675066)%,Enter 8 into the box and press OK.,Ingrese 8 en el cuadro y presione OK.,%(-3909126612174698266)%,You are looking for,Estás buscando,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(8976747979001360347)%,Divide the number line,Divide la recta numérica,%(1331520017505942295)%,Click on the spot where the second fraction would be on this number line.,Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.,%(8976747979001360347)%,Divide the number line,Divide la recta numérica
