Problem Name	Problem1	Problem1ESP	Problem2	Problem2ESP	Problem3	Problem3ESP	Problem5	Problem5ESP	Problem6	Problem6ESP	Problem7	Problem7ESP	Problem8	Problem8ESP	Problem9	Problem9ESP	Problem10	Problem10ESP	Problem11	Problem11ESP	Problem12	Problem12ESP	Problem13	Problem13ESP	Problem14	Problem14ESP	Problem15	Problem15ESP	Problem16	Problem16ESP	Problem17	Problem17ESP	Problem18	Problem18ESP	Problem19	Problem19ESP	Problem20	Problem20ESP	Problem21	Problem21ESP	Problem22	Problem22ESP	Problem23	Problem23ESP	Problem24	Problem24ESP
%(hintMessage_42_number_appears_denominator_fraction)%	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	[google]¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?	What number appears in the denominator of the fraction representing percent?	¿Qué número aparece en el denominador de la fracción que representa el porcentaje?
%(hintMessage_50_multiply_two_numbers)%	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	[google]Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.
%(hintMessage_74_multiplying_denominator_factor_change)%	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	[google]Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	[google]Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	[google]Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	[google]Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	[google]Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	[google]Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	[google]Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	[google]Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	[google]Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	[google]Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	[google]Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	[google]Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	[google]Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	[google]Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.
%(hintMessage_1_many_pictures_kelly_give)%	What is the number of people who took part in the activity?	[google]¿Cuál es el número de personas que participaron en la actividad?	How many miles has Timothy already covered?	[google]¿Cuántas millas ya ha cubierto Timothy?	How much carpeting has Ed already installed in his house?	[google]¿Cuánta alfombra ya ha instalado Ed en su casa?	How many pages did Albert already read from the book?	[google]¿Cuántas páginas ya leía Albert del libro?	What is the length of one story?	[google]¿Cuál es la duración de una historia?	How much credit did the shop return to Jane?	[google]¿Cuánto crédito regresó la tienda a Jane?	How many people answered the question correctly?	[google]¿Cuántas personas respondieron la pregunta correctamente?	How many viewers have won the contest in the last 15 years?	[google]¿Cuántos espectadores han ganado el concurso en los últimos 15 años?	How many athletes from team USA won gold medals during the Winter Olympics?	[google]¿Cuántos atletas del Equipo de EE. UU. Ganaron medallas de oro durante los Juegos Olímpicos de Invierno?	How much time does the student spend doing dishes?	[google]¿Cuánto tiempo pasa el estudiante a lavar platos?	How much wrapping paper was used to wrap the present?	[google]¿Cuánto papel de envoltura se usó para envolver el presente?	How much of the movie has Emily seen?	[google]¿Cuánto de la película ha visto Emily?	How many secondary yawns did Ashley see?	[google]¿Cuántos bostezos secundarios vieron Ashley?	How much of Joan's salary went to taxes?	[google]¿Cuánto del salario de Joan se destinó a impuestos?	How many citizens approved of the president's performance?	[google]¿Cuántos ciudadanos aprobaron el desempeño del presidente?	How many adults regularly participated in physical activities?	[google]¿Cuántos adultos participaron regularmente en actividades físicas?	How many students tried the healthy meal?	[google]¿Cuántos estudiantes probaron la comida saludable?	How much did Lisa spend on the pair of jeans?	[google]¿Cuánto gastó Lisa en el par de jeans?	How much did you save by not paying tax?	[google]¿Cuánto ahorró al no pagar impuestos?	How many customers agreed to buy the company's products?	[google]¿Cuántos clientes acordaron comprar los productos de la compañía?	How many geometry problems were there in the math competition?	[google]¿Cuántos problemas de geometría había en la competencia de matemáticas?	What was Alex's test score?	[google]¿Cuál fue el puntaje de prueba de Alex?	How much tip did the waiter receive?	[google]¿Cuánto consejo recibió el camarero?
%(hintMessage_44_fill_line_using_information)%	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	[google]Complete esta línea utilizando la información que completó anteriormente.	Fill out this line using the information you filled out above.	[CTAT]NAN	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	[CTAT]NAN	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.
%(hintMessage_123_divide_numerator_factor_chosen)%	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	[CTAT]NAN	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	[google]Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	[CTAT]NAN	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	[CTAT]NAN	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.	Divide the numerator by the factor you have chosen. The answer will be the final percentage.	Divida el numerador por el factor que ha elegido. La respuesta será el porcentaje final.
%(hintMessage_16_since_denominator_factor_multiple)%	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	[CTAT]NAN	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?
%(hintMessage_60_please_select_people_didnt)%	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	[CTAT]NAN	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	[CTAT]NAN	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	[CTAT]NAN	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.
%(buggyMessage_36_please_enter_value_without)%	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	[google]Ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.
%(hintMessage_89_please_enter_highlighted_field)%	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.
%(hintMessage_33_solving_problem)%	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	[google]¿Para qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?
