Problem Name	Problem1	ProblemESP1	Problem2	ProblemESP2	Problem3	ProblemESP3	Problem4	ProblemESP4	Problem5	ProblemESP5	Problem6	Problem7	ProblemESP7	Problem8	ProblemESP8
%(q1-ratio100-h3)%	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 100, and multiply it by 100 and then divide it by 100, the original denominator: 100*100/100.	Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 100, y multiplicarlo por 100 y luego dividirlo por 100, el denominador original: 100 * 100/100.	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 1, and multiply it by 100 and then divide it by 20, the original denominator: 1*100/20.	Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 1, y multiplicarlo por 100 y luego dividirlo por 20, el denominador original: 1 * 100/20.	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 5, and multiply it by 100 and then divide it by 50, the original denominator: 5*100/50.	Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 5, y multiplicarlo por 100 y luego dividirlo por 50, el denominador original: 5 * 100/50.	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 10, and multiply it by 100 and then divide it by 25, the original denominator: 10*100/25.	Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 10, y multiplicarlo por 100 y luego dividirlo por 25, el denominador original: 10 * 100/25.	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 7, and multiply it by 100 and then divide it by 10, the original denominator: 7*100/10.	Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 7, y multiplicarlo por 100 y luego dividirlo por 10, el denominador original: 7 * 100/10.	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 38, and multiply it by 100 and then divide it by 40, the original denominator: 38*100/40.	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 2, and multiply it by 100 and then divide it by 5, the original denominator: 2*100/5.	Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 2, y multiplicarlo por 100 y luego dividirlo por 5, el denominador original: 2 * 100/5.	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 3, and multiply it by 100 and then divide it by 15, the original denominator: 3*100/15.	Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 3, y multiplicarlo por 100 y luego dividirlo por 15, el denominador original: 3 * 100/15.
%(q2-ratio100-h1)%	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 20/100 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 20/100 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 8/20 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 8/20 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 25/50 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 25/50 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 5/25 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 5/25 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 9/10 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 9/10 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 14/40 to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 1/5 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 1/5 en 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 6/15 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 6/15 a 100.
%(q2-ratio100-h2)%	Do you know how to find an equivalent fraction of 20/100 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 20/100 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 8/20 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 8/20 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 25/50 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 25/50 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 5/25 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 5/25 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 9/10 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 9/10 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 14/40 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	Do you know how to find an equivalent fraction of 1/5 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 1/5 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 6/15 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 6/15 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?
%(q2-ratio100-h3)%	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 20, and multiply it by 100 and then divide it by 100, the original denominator: 20*100/100. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 8, and multiply it by 100 and then divide it by 20, the original denominator: 8*100/20. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 25, and multiply it by 100 and then divide it by 50, the original denominator: 25*100/50. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 5, and multiply it by 100 and then divide it by 25, the original denominator: 5*100/25. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 9, and multiply it by 100 and then divide it by 10, the original denominator: 9*100/10. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 14, and multiply it by 100 and then divide it by 40, the original denominator: 14*100/40. 	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 1, and multiply it by 100 and then divide it by 5, the original denominator: 1*100/5. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 6, and multiply it by 100 and then divide it by 15, the original denominator: 6*100/15. 	N/A
%(q3-ratio100-h1)%	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 60/100 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 60/100 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 5/20 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 5/20 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 45/50 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 45/50 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 20/25 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 20/25 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 4/10 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 4/10 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 9/40 to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 4/5 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 4/5 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 12/15 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 12/15 en 100.
%(q3-ratio100-h2)%	Do you know how to find an equivalent fraction of 60/100 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 60/100 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 5/20 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 5/20 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 45/50 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 45/50 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 20/25 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 20/25 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 4/10 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 4/10 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 9/40 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	Do you know how to find an equivalent fraction of 4/5 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 4/5 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 12/15 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 12/15 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?
%(q3-ratio100-h3)%	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 60, and multiply it by 100 and then divide it by 100, the original denominator: 60*100/100. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 5, and multiply it by 100 and then divide it by 20, the original denominator: 5*100/20. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 45, and multiply it by 100 and then divide it by 50, the original denominator: 45*100/50. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 20, and multiply it by 100 and then divide it by 25, the original denominator: 20*100/25. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 4, and multiply it by 100 and then divide it by 10, the original denominator: 4*100/10. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 9, and multiply it by 100 and then divide it by 40, the original denominator: 9*100/40. 	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 4, and multiply it by 100 and then divide it by 5, the original denominator: 4*100/5. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 12, and multiply it by 100 and then divide it by 15, the original denominator: 12*100/15. 	N/A
%(q4-ratio100-h1)%	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 5/100 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 5/100 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 15/20 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 15/20 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 35/50 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 35/50 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 15/25 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 15/25 a 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 1/10 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 1/10 en 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 26/40 to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 3/5 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 3/5 en 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of 9/15 to 100.	Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 9/15 en 100.
%(q4-ratio100-h2)%	Do you know how to find an equivalent fraction of 5/100 that has denominator of 100? You already know the denominator. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente a 5/100 que tiene un denominador de 100? Ya conoces el denominador. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 15/20 that has denominator of 100? You already know the denominator. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 15/20 que tiene un denominador de 100? Ya conoces el denominador. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 35/50 that has denominator of 100? You already know the denominator. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 35/50 que tiene un denominador de 100? Ya conoces el denominador. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 15/25 that has denominator of 100? You already know the denominator. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 15/25 que tiene un denominador de 100? Ya conoces el denominador. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 1/10 that has denominator of 100? You already know the denominator. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 1/10 que tiene un denominador de 100? Ya conoces el denominador. Entonces, ¿Cuál sería su numerador?	Do you know how to find an equivalent fraction of 26/40 that has denominator of 100? You already know the denominator. Then, what would be its numerator?	Do you know how to find an equivalent fraction of 3/5 that has denominator of 100? You already know the denominator. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 3/5 que tiene un denominador de 100? Ya conoces el denominador. Entonces, ¿cuál sería su numerador?	Do you know how to find an equivalent fraction of 9/15 that has denominator of 100? You already know the denominator. Then, what would be its numerator?	¿Sabes cómo encontrar una fracción equivalente de 9/15 que tiene un denominador de 100? Ya conoces el denominador. Entonces, ¿Cuál sería su numerador?
%(q4-ratio100-h3)%	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 5, and multiply it by 100 and then divide it by 100, the original denominator: 5*100/100. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 15, and multiply it by 100 and then divide it by 20, the original denominator: 15*100/20. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 35, and multiply it by 100 and then divide it by 50, the original denominator: 35*100/50. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 15, and multiply it by 100 and then divide it by 25, the original denominator: 15*100/25. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 1, and multiply it by 100 and then divide it by 10, the original denominator: 1*100/10. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 26, and multiply it by 100 and then divide it by 40, the original denominator: 26*100/40. 	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 3, and multiply it by 100 and then divide it by 5, the original denominator: 3*100/5. 	N/A	One way to find the numerator for the ratio out of 100 is to start with the original numerator, 9, and multiply it by 100 and then divide it by 15, the original denominator: 9*100/15. 	N/A
%(q1-percent-h1)%	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 100/100. The percent representation is just the numerator of this ratio, 100.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 100/100. La representación porcentual es solo el numerador de esta razón, 100.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 5/100. The percent representation is just the numerator of this ratio, 5.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 5/100. La representación porcentual es solo el numerador de esta razón, 5.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 10/100. The percent representation is just the numerator of this ratio, 10.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 10/100. La representación porcentual es solo el numerador de esta razón, 10.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 40/100. The percent representation is just the numerator of this ratio, 40.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 40/100. La representación porcentual es solo el numerador de esta razón, 40.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 70/100. The percent representation is just the numerator of this ratio, 70.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 70/100. La representación porcentual es solo el numerador de esta razón, 70.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 95/100. The percent representation is just the numerator of this ratio, 95.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 40/100. The percent representation is just the numerator of this ratio, 40.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 40/100. La representación porcentual es solo el numerador de esta razón, 40.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 20/100. The percent representation is just the numerator of this ratio, 20.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 20/100. La representación porcentual es solo el numerador de esta razón, 20.
%(q1-percent-h2)%	If the ratio out 100 is 100/100, the percent is its numerator, 100.	Si la relación de 100 es 100/100, el porcentaje es su numerador, 100.	If the ratio out 100 is 5/100, the percent is its numerator, 5.	Si la razón de 100 es 5/100, el porcentaje es su numerador, 5.	If the ratio out 100 is 10/100, the percent is its numerator, 10.	Si la relación de 100 es 10/100, el porcentaje es su numerador, 10.	If the ratio out 100 is 40/100, the percent is its numerator, 40.	Si la relación de 100 es 40/100, el porcentaje es su numerador, 40.	If the ratio out 100 is 70/100, the percent is its numerator, 70.	Si la relación de 100 es 70/100, el porcentaje es su numerador, 70.	If the ratio out 100 is 95/100, the percent is its numerator, 95.	If the ratio out 100 is 40/100, the percent is its numerator, 40.	Si la relación de 100 es 40/100, el porcentaje es su numerador, 40.	If the ratio out 100 is 20/100, the percent is its numerator, 20.	Si la relación de 100 es 20/100, el porcentaje es su numerador, 20.
%(q2-percent-h1)%	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 20/100. The percent representation is just the numerator of this ratio, 20.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 20/100. La representación porcentual es solo el numerador de esta razón, 20.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 40/100. The percent representation is just the numerator of this ratio, 40.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 40/100. La representación porcentual es solo el numerador de esta razón, 40.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 50/100. The percent representation is just the numerator of this ratio, 50.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 50/100. La representación porcentual es solo el numerador de esta razón, 50.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 20/100. The percent representation is just the numerator of this ratio, 20.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 20/100. La representación porcentual es solo el numerador de esta razón, 20.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 90/100. The percent representation is just the numerator of this ratio, 90.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 90/100. La representación porcentual es solo el numerador de esta razón, 90.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 35/100. The percent representation is just the numerator of this ratio, 35.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 20/100. The percent representation is just the numerator of this ratio, 20.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 20/100. La representación porcentual es solo el numerador de esta razón, 20.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 40/100. The percent representation is just the numerator of this ratio, 40.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 40/100. La representación porcentual es solo el numerador de esta razón, 40.
%(q2-percent-h2)%	If the ratio out 100 is 20/100, the percent is its numerator, 20.	Si la relación de 100 es 20/100, el porcentaje es su numerador, 20.	If the ratio out 100 is 40/100, the percent is its numerator, 40.	Si la relación de 100 es 40/100, el porcentaje es su numerador, 40.	If the ratio out 100 is 50/100, the percent is its numerator, 50.	Si la razón de 100 es 50/100, el porcentaje es su numerador, 50.	If the ratio out 100 is 20/100, the percent is its numerator, 20.	Si la relación de 100 es 20/100, el porcentaje es su numerador, 20.	If the ratio out 100 is 90/100, the percent is its numerator, 90.	Si la relación de 100 es 90/100, el porcentaje es su numerador, 90.	If the ratio out 100 is 35/100, the percent is its numerator, 35.	If the ratio out 100 is 20/100, the percent is its numerator, 20.	Si la relación de 100 es 20/100, el porcentaje es su numerador, 20.	If the ratio out 100 is 40/100, the percent is its numerator, 40.	Si la relación de 100 es 40/100, el porcentaje es su numerador, 40.
%(q3-percent-h1)%	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 60/100. The percent representation is just the numerator of this ratio, 60.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 60/100. La representación porcentual es solo el numerador de esta razón, 60.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 25/100. The percent representation is just the numerator of this ratio, 25.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 25/100. La representación porcentual es solo el numerador de esta razón, 25.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 90/100. The percent representation is just the numerator of this ratio, 90.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 90/100. La representación porcentual es solo el numerador de esta razón, 90.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 80/100. The percent representation is just the numerator of this ratio, 80.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la proporción de 100, 80/100. La representación porcentual es solo el numerador de esta razón, 80.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 40/100. The percent representation is just the numerator of this ratio, 40.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 40/100. La representación porcentual es solo el numerador de esta razón, 40.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 22.5/100. The percent representation is just the numerator of this ratio, 22.5.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 80/100. The percent representation is just the numerator of this ratio, 80.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la proporción de 100, 80/100. La representación porcentual es solo el numerador de esta razón, 80.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 80/100. The percent representation is just the numerator of this ratio, 80.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la proporción de 100, 80/100. La representación porcentual es solo el numerador de esta razón, 80.
%(q3-percent-h2)%	If the ratio out 100 is 60/100, the percent is its numerator, 60.	Si la relación de 100 es 60/100, el porcentaje es su numerador, 60.	If the ratio out 100 is 25/100, the percent is its numerator, 25.	Si la relación de 100 es 25/100, el porcentaje es su numerador, 25.	If the ratio out 100 is 90/100, the percent is its numerator, 90.	Si la relación de 100 es 90/100, el porcentaje es su numerador, 90.	If the ratio out 100 is 80/100, the percent is its numerator, 80.	Si la relación de 100 es 80/100, el porcentaje es su numerador, 80.	If the ratio out 100 is 40/100, the percent is its numerator, 40.	Si la relación de 100 es 40/100, el porcentaje es su numerador, 40.	If the ratio out 100 is 22.5/100, the percent is its numerator, 22.5.	If the ratio out 100 is 80/100, the percent is its numerator, 80.	Si la relación de 100 es 80/100, el porcentaje es su numerador, 80.	If the ratio out 100 is 80/100, the percent is its numerator, 80.	Si la relación de 100 es 80/100, el porcentaje es su numerador, 80.
%(q4-percent-h1)%	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 5/100. The percent representation is just the numerator of this ratio, 5.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 5/100. La representación porcentual es solo el numerador de esta razón, 5.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 75/100. The percent representation is just the numerator of this ratio, 75.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 75/100. La representación porcentual es solo el numerador de esta razón, 75.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 70/100. The percent representation is just the numerator of this ratio, 70.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 70/100. La representación porcentual es solo el numerador de esta razón, 70.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 60/100. The percent representation is just the numerator of this ratio, 60.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 60/100. La representación porcentual es solo el numerador de esta razón, 60.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 10/100. The percent representation is just the numerator of this ratio, 10.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 10/100. La representación porcentual es solo el numerador de esta razón, 10.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 65/100. The percent representation is just the numerator of this ratio, 65.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 60/100. The percent representation is just the numerator of this ratio, 60.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 60/100. La representación porcentual es solo el numerador de esta razón, 60.	Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 60/100. The percent representation is just the numerator of this ratio, 60.	Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 60/100. La representación porcentual es solo el numerador de esta razón, 60.
%(q4-percent-h2)%	If the ratio out 100 is 5/100, the percent is its numerator, 5.	Si la razón de 100 es 5/100, el porcentaje es su numerador, 5.	If the ratio out 100 is 75/100, the percent is its numerator, 75.	Si la razón de 100 es 75/100, el porcentaje es su numerador, 75.	If the ratio out 100 is 70/100, the percent is its numerator, 70.	Si la relación de 100 es 70/100, el porcentaje es su numerador, 70.	If the ratio out 100 is 60/100, the percent is its numerator, 60.	Si la relación de 100 es 60/100, el porcentaje es su numerador, 60.	If the ratio out 100 is 10/100, the percent is its numerator, 10.	Si la relación de 100 es 10/100, el porcentaje es su numerador, 10.	If the ratio out 100 is 65/100, the percent is its numerator, 65.	If the ratio out 100 is 60/100, the percent is its numerator, 60.	Si la relación de 100 es 60/100, el porcentaje es su numerador, 60.	If the ratio out 100 is 60/100, the percent is its numerator, 60.	Si la relación de 100 es 60/100, el porcentaje es su numerador, 60.
%(q1-dec-h1)%	The ratio out of 100 is written as 100/100. Please express this value as a decimal.	La relación de 100 se escribe como 100/100. Por favor, exprese este valor como decimal.	The ratio out of 100 is written as 5/100. Please express this value as a decimal.	La proporción de 100 se escribe como 5/100. Por favor, exprese este valor como decimal.	The ratio out of 100 is written as 10/100. Please express this value as a decimal.	La razón de 100 se escribe como 10/100. Exprese este valor como decimal.	The ratio out of 100 is written as 40/100. Please express this value as a decimal.	La proporción de 100 se escribe como 40/100. Por favor, exprese este valor como decimal.	The ratio out of 100 is written as 70/100. Please express this value as a decimal.	La relación de 100 se escribe como 70/100. Por favor, exprese este valor como decimal.	The ratio out of 100 is written as 95/100. Please express this value as a decimal.	The ratio out of 100 is written as 40/100. Please express this value as a decimal.	La proporción de 100 se escribe como 40/100. Por favor, exprese este valor como decimal.	The ratio out of 100 is written as 20/100. Please express this value as a decimal.	La proporción de 100 se escribe como 20/100. Por favor, exprese este valor como decimal.
