Problem Name	IntroProblem	IntroProblemESP	Problem1	Problem1ESP	Problem2	Problem2ESP	Problem3	Problem3ESP	Problem5	Problem5ESP	Problem6	Problem6ESP	Problem7	Problem7ESP	Problem8	Problem8ESP	Problem9	Problem9ESP	Problem10	Problem10ESP	Problem11	Problem11ESP	Problem12	Problem12ESP	Problem13	Problem13ESP	Problem14	Problem14ESP	Problem15	Problem15ESP	Problem16	Problem16ESP	Problem17	Problem17ESP	Problem18	Problem18ESP	Problem19	Problem19ESP	Problem20	Problem20ESP	Problem21	Problem21ESP	Problem22	Problem22ESP	Problem23	Problem23ESP	Problem24	Problem24ESP
%(hintMessage_50_multiply_two_numbers)%	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.	Multiply the two numbers above.	Multiplica los dos números anteriores.
%(hintMessage_74_multiplying_denominator_factor_change)%	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Dividing the denominator by what factor will change it to a hundred? Divide the numerator by the same factor.	¿Dividir el denominador por qué factor lo cambiará a cien? Divida el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.	Multiplying the denominator by what factor will change it to a hundred? Multiply the numerator by the same factor.	¿Multiplicar el denominador por qué factor lo cambiará a cien? Multiplica el numerador por el mismo factor.
%(hintMessage_1_many_pictures_kelly_give)%	How many pictures did Kelly give to her family?	¿Cuántas fotos le dio Kelly a su familia?	What is the number of people who took part in the activity?	¿Cuál es el número de personas que participaron en la actividad?	How many miles has Timothy already covered?	¿Cuántas millas ya recorrió Timothy?	How much carpeting has Ed already installed in his house?	¿Cuánta alfombra ha instalado Ed en su casa?	How many pages did Albert already read from the book?	¿Cuántas páginas ya leyó Albert del libro?	What is the length of one story?	¿Cuál es la longitud de una historia?	How much credit did the shop return to Jane?	¿Cuánto crédito le devolvió la tienda a Jane?	How many people answered the question correctly?	¿Cuántas personas respondieron correctamente a la pregunta?	How many viewers have won the contest in the last 15 years?	¿Cuántos espectadores han ganado el concurso en los últimos 15 años?	How many athletes from team USA won gold medals during the Winter Olympics?	¿Cuántos atletas del equipo de Estados Unidos ganaron medallas de oro durante los Juegos Olímpicos de Invierno?	How much time does the student spend doing dishes?	¿Cuánto tiempo pasa el alumno lavando platos?	How much wrapping paper was used to wrap the present?	¿Cuánto papel de regalo se utilizó para envolver el presente?	How much of the movie has Emily seen?	¿Cuánto de la película ha visto Emily?	How many secondary yawns did Ashley see?	¿Cuántos bostezos secundarios vio Ashley?	How much of Joan's salary went to taxes?	¿Cuánto del salario de Joan se destinó a impuestos?	How many citizens approved of the president's performance?	¿Cuántos ciudadanos aprobaron el desempeño del presidente?	How many adults regularly participated in physical activities?	¿Cuántos adultos participaron regularmente en actividades físicas?	How many students tried the healthy meal?	¿Cuántos estudiantes probaron la comida saludable?	How much did Lisa spend on the pair of jeans?	¿Cuánto gastó Lisa en el par de jeans?	How much did you save by not paying tax?	¿Cuánto ahorraste al no pagar impuestos?	How many customers agreed to buy the company's products?	¿Cuántos clientes aceptaron comprar los productos de la empresa?	How many geometry problems were there in the math competition?	¿Cuántos problemas de geometría hubo en la competencia de matemáticas?	What was Alex's test score?	¿Cuál fue la puntuación de la prueba de Alex?	How much tip did the waiter receive?	¿Cuánta propina recibió el camarero?
%(hintMessage_44_fill_line_using_information)%	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.	Fill out this line using the information you filled out above.	Complete esta línea con la información que completó anteriormente.
%(hintMessage_123_divide_numerator_factor_chosen)%	Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.		Divide the numerator by the factor you have chosen. The answer will be the final percentage.	
%(hintMessage_16_since_denominator_factor_multiple)%	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?	Since the denominator is not a factor or a multiple of 100, which method will be the best method to solve this problem?	Dado que el denominador no es un factor o un múltiplo de 100, ¿Cuál será el mejor método para resolver este problema?
%(hintMessage_60_please_select_people_didnt)%	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.	Please select 'People who didn't take part in the activity' from the highlighted menu.	Por favor, seleccione 'Personas que no participaron en la actividad' en el menú resaltado.
%(buggyMessage_36_please_enter_value_without)%	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.	Please enter the value without the commas.	Por favor, ingrese el valor sin las comas.
%(hintMessage_89_please_enter_highlighted_field)%	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.	Please enter 'A' in the highlighted field.	Por favor, ingrese 'A' en el campo resaltado.
%(hintMessage_33_solving_problem)%	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?	What are you solving for in this problem?	¿Qué estás resolviendo en este problema?
%(hintMessage_87_please_provide_answer_no_value)%	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.	Please provide your answer 'No_Value' in the highlighted element.	Proporcione su respuesta 'Sin_Valor' en el elemento resaltado.
%(hintMessage_7_please_enter_50_highlighted)%	Please enter '50' in the highlighted field.	Por favor, ingrese '50' en el campo resaltado.	Please enter '21000' in the highlighted field.	Por favor, ingrese '21000' en el campo resaltado.	Please enter '5000' in the highlighted field.	Por favor, ingrese '5000' en el campo resaltado.	Please enter '300' in the highlighted field.	Por favor, ingrese '300' en el campo resaltado.	Please enter '200' in the highlighted field.	Por favor, ingrese '200' en el campo resaltado.	Please enter '75' in the highlighted field.	Por favor, ingrese '75' en el campo resaltado.	Please enter '8' in the highlighted field.	Por favor, ingrese '8' en el campo resaltado.	Please enter '400' in the highlighted field.	Por favor, ingrese '400' en el campo resaltado.	Please enter '25000' in the highlighted field.	Por favor, ingrese '25000' en el campo resaltado.	Please enter '80' in the highlighted field.	Por favor, ingrese '80' en el campo resaltado.	Please enter '5' in the highlighted field.	Por favor, ingrese '5' en el campo resaltado.	Please enter '25' in the highlighted field.	Por favor, ingrese '25' en el campo resaltado.	Please enter '130' in the highlighted field.	Por favor, ingrese '130' en el campo resaltado.	Please enter '2400' in the highlighted field.	Por favor, ingrese '2400' en el campo resaltado.	Please enter '2000' in the highlighted field.	Por favor, ingrese '2000' en el campo resaltado.	Please enter '2000000' in the highlighted field.	Por favor, ingrese '2000000' en el campo resaltado.	Please enter '6000' in the highlighted field.	Por favor, ingrese '6000' en el campo resaltado.	Please enter '500' in the highlighted field.	Por favor, ingrese '500' en el campo resaltado.	Please enter '85' in the highlighted field.	Por favor, ingrese '85' en el campo resaltado.	Please enter '1500' in the highlighted field.	Por favor, ingrese '1500' en el campo resaltado.	Please enter '300' in the highlighted field.	Por favor, ingrese '300' en el campo resaltado.	Please enter '240' in the highlighted field.	Por favor, ingrese '240' en el campo resaltado.	Please enter '175' in the highlighted field.	Por favor, ingrese '175' en el campo resaltado.	Please enter '35' in the highlighted field.	Por favor, ingrese '35' en el campo resaltado.
