Problem Name	00bubble	00bubbleESP	01book	01bookESP	02cheese	02cheeseESP	03chain	03chainESP	04school	04schoolESP	05height	05heightESP	06fence	06fenceESP	07sandwich	07sandwichESP	08swim	08swimESP	09pie	09pieESP	10homework	10homeworkESP	11pizza	11pizzaESP	12charity	12charityESP	13school	13schoolESP	14candy	14candyESP	15sauce	15sauceESP	16chemistry	16chemistryESP	17salad	17saladESP	18prize	18prizeESP	19history	19historyESP
%(div2-h1)%	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	"The problem did not give you a fraction for this line, but a number, ""1"". How would you think of it as a fraction?"	"El problema no le dio una fracción para esta línea, sino un número, ""1"". ¿Cómo lo consideraría una fracción?"	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.
%(div2-h2)%	The fraction 1/5 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 1/5 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 1/5 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 1/5 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 2/3 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 2/3 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 4/5 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 4/5 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 2/5 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 2/5 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 1/2 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 1/2 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 4/7 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 4/7 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 2/4 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 2/4 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 1/3 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 1/3 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 6/8 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 6/8 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 2/9 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 2/9 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 1/4 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 1/4 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 8/8 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 8/8 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 5/3 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 5/3 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 11/10 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 11/10 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	"1 can be written as a fraction with any denominator, as long as the numerator is equal, like this: ""1/1"", ""2/2"", ""3/3"", and etc."	"1 se puede escribir como una fracción con cualquier denominador, siempre que el numerador sea igual, así: ""1/1"", ""2/2"", ""3/3"", etc."	The fraction 13/7 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 13/7 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 10/5 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 10/5 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 6/4 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 6/4 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 4/5 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 4/5 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.
%(div2-h3)%	Enter 5 into the box and press OK.	Ingrese 5 en el cuadro y presione OK.	Enter 5 into the box and press OK.	Ingrese 5 en el cuadro y presione OK.	Enter 3 into the box and press OK.	Ingrese 3 en el cuadro y presione OK.	Enter 5 into the box and press OK.	Ingrese 5 en el cuadro y presione OK.	Enter 5 into the box and press OK.	Ingrese 5 en el cuadro y presione OK.	Enter 2 into the box and press OK.	Ingrese 2 en el cuadro y presione OK.	Enter 7 into the box and press OK.	Ingrese 7 en el cuadro y presione OK.	Enter 4 into the box and press OK.	Ingrese 4 en el cuadro y presione OK.	Enter 3 into the box and press OK.	Ingrese 3 en el cuadro y presione OK.	Enter 8 into the box and press OK.	Ingrese 8 en el cuadro y presione OK.	Enter 9 into the box and press OK.	Ingrese 9 en el cuadro y presione OK.	Enter 4 into the box and press OK.	Ingrese 4 en el cuadro y presione OK.	Enter 8 into the box and press OK.	Ingrese 8 en el cuadro y presione OK.	Enter 3 into the box and press OK.	Ingrese 3 en el cuadro y presione OK.	Enter 10 into the box and press OK.	[CTAT]NAN	Enter any number you want into the box.	Ingrese cualquier número que desee en el cuadro.	Enter 7 into the box and press OK.	Ingrese 7 en el cuadro y presione OK.	Enter 5 into the box and press OK.	Ingrese 5 en el cuadro y presione OK.	Enter 4 into the box and press OK.	Ingrese 4 en el cuadro y presione OK.	Enter 5 into the box and press OK.	Ingrese 5 en el cuadro y presione OK.
%(lin2-h1)%	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	"Click on the spot where ""1"" would lie on the number line."	"Haga clic en el lugar donde estaría ""1"" en la recta numérica."	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.	Click on the spot where the second fraction would be on this number line.	Haga clic en el lugar donde estaría la segunda fracción en esta recta numérica.
%(lin2-h2)%	What is the numerator of the fraction 1/5? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 1/5? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 1/5? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 1/5? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 2/3? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 2/3? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 4/5? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 4/5? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 2/5? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 2/5? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 1/2? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 1/2? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 4/7? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 4/7? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 2/4? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 2/4? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 1/3? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 1/3? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 6/8? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 6/8? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 2/9? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 2/9? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 1/4? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 1/4? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 8/8? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 8/8? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 5/3? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 5/3? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 11/10? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 11/10? El numerador representa la cantidad de partes que debe contar.	"1 can be written as a fraction with any denominator, as long as the numerator is equal, like this: ""1/1"", ""2/2"", ""3/3"", and etc."	"1 se puede escribir como una fracción con cualquier denominador, siempre que el numerador sea igual, así: ""1/1"", ""2/2"", ""3/3"", etc."	What is the numerator of the fraction 13/7? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 13/7? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 10/5? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 10/5? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 6/4? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 6/4? El numerador representa la cantidad de partes que debe contar.	What is the numerator of the fraction 4/5? The numerator represents the number of parts you should count.	¿Cuál es el numerador de la fracción 4/5? El numerador representa la cantidad de partes que debe contar.
%(lin2-h3)%	Count - part(s) from the left and click on the spot.	[google]Conte - Parte (s) desde la izquierda y haga clic en el lugar.	Count 1 part(s) from the left and click on the spot.	Cuente 1 parte (s) desde la izquierda y haga clic en el lugar.	Count 2 part(s) from the left and click on the spot.	Cuente 2 partes desde la izquierda y haga clic en el lugar.	Count 4 part(s) from the left and click on the spot.	Cuente 4 partes desde la izquierda y haga clic en el lugar.	Count 2 part(s) from the left and click on the spot.	Cuente 2 partes desde la izquierda y haga clic en el lugar.	Count 1 part(s) from the left and click on the spot.	Cuente 1 parte (s) desde la izquierda y haga clic en el lugar.	Count 4 part(s) from the left and click on the spot.	Cuente 4 partes desde la izquierda y haga clic en el lugar.	Count 2 part(s) from the left and click on the spot.	Cuente 2 partes desde la izquierda y haga clic en el lugar.	Count 1 part(s) from the left and click on the spot.	Cuente 1 parte (s) desde la izquierda y haga clic en el lugar.	Count 6 part(s) from the left and click on the spot.	Cuente 6 partes desde la izquierda y haga clic en el lugar.	Count 2 part(s) from the left and click on the spot.	Cuente 2 partes desde la izquierda y haga clic en el lugar.	Count 1 part(s) from the left and click on the spot.	Cuente 1 parte (s) desde la izquierda y haga clic en el lugar.	Count 8 part(s) from the left and click on the spot.	Cuente 8 partes desde la izquierda y haga clic en el lugar.	Count 5 part(s) from the left and click on the spot.	Cuente 5 partes desde la izquierda y haga clic en el lugar.	Count 11 part(s) from the left and click on the spot.	Cuente 11 partes desde la izquierda y haga clic en el lugar.	"Click on the spot where the large tickmark says ""1""."	"Haga clic en el lugar donde la marca de verificación grande dice ""1""."	Count 13 part(s) from the left and click on the spot.	Cuente 13 partes desde la izquierda y haga clic en el lugar.	Count 10 part(s) from the left and click on the spot.	Cuente 10 partes desde la izquierda y haga clic en el lugar.	Count 6 part(s) from the left and click on the spot.	Cuente 6 partes desde la izquierda y haga clic en el lugar.	Count 4 part(s) from the left and click on the spot.	Cuente 4 partes desde la izquierda y haga clic en el lugar.
%(limit)%	none	[google]ninguna ninguno	none	[google]ninguna ninguno	none	[google]ninguna ninguno	none	[google]ninguna ninguno	none	[google]ninguna ninguno	none	[google]ninguna ninguno	none	[google]ninguna ninguno	none	[google]ninguna ninguno	none	[google]ninguna ninguno	none	[google]ninguna ninguno	none	[google]ninguna ninguno	none	[google]ninguna ninguno	none	[google]ninguna ninguno	none	[google]ninguna ninguno	none	[google]ninguna ninguno	0	0	none	[google]ninguna ninguno	none	[google]ninguna ninguno	none	[google]ninguna ninguno	none	[google]ninguna ninguno
%(skillName)%	FracLess1	[google]FRACLING1	FracLess1	[google]FRACLING1	FracLess1	[google]FRACLING1	FracLess1	[google]FRACLING1	FracLess1	[google]FRACLING1	FracLess1	[google]FRACLING1	FracLess1	[google]FRACLING1	FracLess1	[google]FRACLING1	FracLess1	[google]FRACLING1	FracLess1	[google]FRACLING1	FracLess1	[google]FRACLING1	FracLess1	[google]FRACLING1	FracGreater1	[google]Fracgreater1	FracGreater1	[google]Fracgreater1	FracGreater1	[google]Fracgreater1	FracGreater1	[google]Fracgreater1	FracGreater1	[google]Fracgreater1	FracGreater1	[google]Fracgreater1	FracGreater1	[google]Fracgreater1	FracGreater1	[google]Fracgreater1
%(skillLabel)%	Work with fraction less then 1	Trabajar con una fracción menor a 1	Work with fraction less then 1	Trabajar con una fracción menor a 1	Work with fraction less then 1	Trabajar con una fracción menor a 1	Work with fraction less then 1	Trabajar con una fracción menor a 1	Work with fraction less then 1	Trabajar con una fracción menor a 1	Work with fraction less then 1	Trabajar con una fracción menor a 1	Work with fraction less then 1	Trabajar con una fracción menor a 1	Work with fraction less then 1	Trabajar con una fracción menor a 1	Work with fraction less then 1	Trabajar con una fracción menor a 1	Work with fraction less then 1	Trabajar con una fracción menor a 1	Work with fraction less then 1	Trabajar con una fracción menor a 1	Work with fraction less then 1	Trabajar con una fracción menor a 1	Work with fraction greater then 1	Trabajar con una fracción mayor que 1	Work with fraction greater then 1	Trabajar con una fracción mayor que 1	Work with fraction greater then 1	Trabajar con una fracción mayor que 1	Work with fraction greater then 1	Trabajar con una fracción mayor que 1	Work with fraction greater then 1	Trabajar con una fracción mayor que 1	Work with fraction greater then 1	Trabajar con una fracción mayor que 1	Work with fraction greater then 1	Trabajar con una fracción mayor que 1	Work with fraction greater then 1	Trabajar con una fracción mayor que 1
%(hintMessage_1_fraction_placed_number_line)%	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.	What is the fraction that should be placed on this number line? Divide the number line by entering the number of divisions to make, and press OK.	¿Cuál es la fracción que se debe colocar en esta recta numérica? Divida la recta numérica ingresando el número de divisiones a realizar y presione OK.
%(hintMessage_2_fraction_frac1_placed_denominator)%	The fraction 1/3 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 1/3 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 1/4 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 1/4 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 2/5 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 2/5 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 5/6 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 5/6 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 4/10 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 4/10 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 5/12 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 5/12 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 2/3 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 2/3 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 2/3 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 2/3 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 3/10 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 3/10 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 3/4 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 3/4 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 1/3 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 1/3 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 2/8 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 2/8 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 8/7 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 8/7 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 13/10 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 13/10 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 9/8 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 9/8 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 10/9 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 10/9 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 15/8 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 15/8 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 11/6 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 11/6 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 3/2 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 3/2 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.	The fraction 5/4 should be placed here. What is the denominator? Use the denominator to evenly divide the number line.	La fracción 5/4 debe colocarse aquí. ¿Qué es el denominador? Usa el denominador para dividir uniformemente la recta numérica.
