Problem Name	Problem 1	Problem 1ESP	Problem 2	Problem 2ESP	Problem 3	Problem 3ESP	Problem 12	Problem 12ESP	Problem 13	Problem 13ESP	Problem 14	Problem 14ESP	Problem 15	Problem 15ESP	Problem 21	Problem 21ESP
%(answer_skill1_shown)%	Solve for part	Resolver por parte	Solve for part	Resolver por parte	Solve for part	Resolver por parte	Solve for part	Resolver por parte	Solve for part	Resolver por parte	Solve for part	Resolver por parte	Solve for part	Resolver por parte	Solve for part	Resolver por parte
%(show_work_skill2_shown)%	Show work for total	Mostrar trabajo por total	Show work for total	Mostrar trabajo por total	Show work for total	Mostrar trabajo por total	Show work for total	Mostrar trabajo por total	Show work for total	Mostrar trabajo por total	Show work for total	Mostrar trabajo por total	Show work for total	Mostrar trabajo por total	Show work for total	Mostrar trabajo por total
%(answer_skill2_shown)%	Solve for total	Resolver para total	Solve for total	Resolver para total	Solve for total	Resolver para total	Solve for total	Resolver para total	Solve for total	Resolver para total	Solve for total	Resolver para total	Solve for total	Resolver para total	Solve for total	Resolver para total
%(show_work_skill3_shown)%	Show work for remaining part	Mostrar trabajo para la parte restante	Show work for remaining part	Mostrar trabajo para la parte restante	Show work for remaining part	Mostrar trabajo para la parte restante	Show work for remaining part	Mostrar trabajo para la parte restante	Show work for remaining part	Mostrar trabajo para la parte restante	Show work for remaining part	Mostrar trabajo para la parte restante	Show work for remaining part	Mostrar trabajo para la parte restante	Show work for remaining part	Mostrar trabajo para la parte restante
%(answer_skill3_shown)%	Solve for remaining part	Resolver para la parte restante	Solve for remaining part	Resolver para la parte restante	Solve for remaining part	Resolver para la parte restante	Solve for remaining part	Resolver para la parte restante	Solve for remaining part	Resolver para la parte restante	Solve for remaining part	Resolver para la parte restante	Solve for remaining part	Resolver para la parte restante	Solve for remaining part 	[google]Resolver para la parte restante
%(hintMessage_20_try_subtracting_one_givens)%	Try subtracting one of the givens from your previous answer.	Intente restar uno de los datos de su respuesta anterior.	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.	Try subtracting one of the givens from your previous answer.	Intente restar uno de los datos de su respuesta anterior.	Try subtracting one of the givens from your previous answer.	Intente restar uno de los datos de su respuesta anterior.	Try subtracting one of the givens from your previous answer.	Intente restar uno de los datos de su respuesta anterior.	Try subtracting one of the givens from your previous answer.	Intente restar uno de los datos de su respuesta anterior.	Try subtracting one of the givens from your previous answer.	Intente restar uno de los datos de su respuesta anterior.	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.
%(hintMessage_6_please_enter_710_highlighted)%	Please enter '7/10' in the highlighted field.	Por favor, ingrese '7/10' en el campo resaltado.	Please enter '4/5' in the highlighted field.	Por favor, ingrese '4/5' en el campo resaltado.	Please enter '3/4' in the highlighted field.	Por favor, ingrese '3/4' en el campo resaltado.	Please enter '6/7' in the highlighted field.	Por favor, ingrese '6/7' en el campo resaltado.	Please enter '3/5' in the highlighted field.	Por favor, introduzca '3/5' en el campo resaltado.	Please enter '9/10' in the highlighted field.	Por favor, ingrese '9/10' en el campo resaltado.	Please enter '2/3' in the highlighted field.	Por favor, ingrese '2/3' en el campo resaltado.	Please enter '11/15' in the highlighted field.	Por favor, ingrese '11 / 15 'en el campo resaltado.
%(buggyMessage_1_correct)%	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.
%(hintMessage_17_number_show_work_step)%	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"
%(hintMessage_11_number_show_work_step)%	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"
%(hintMessage_22_whats_answer_mathematical_expression)%	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?
%(hintMessage_21_please_enter_200140_highlighted)%	Please enter '200-140' in the highlighted field.	Por favor, ingrese '200-140' en el campo resaltado.	Please enter '90-72' in the highlighted field.	Por favor, ingrese '90-72 'en el campo resaltado.	Please enter '20-15' in the highlighted field.	Por favor, introduzca '20-15 'en el campo resaltado.	Please enter '49-42' in the highlighted field.	Por favor, ingrese '49-42 'en el campo resaltado.	Please enter '15-9' in the highlighted field.	Por favor, ingrese '15 -9 'en el campo resaltado.	Please enter '50-45' in the highlighted field.	Por favor, ingrese '50-45 'en el campo resaltado.	Please enter '5478-3652' in the highlighted field.	Por favor, ingrese '5478-3652' en el campo resaltado.	Please enter '255-187' in the highlighted field.	Por favor, ingrese '255-187' en el campo resaltado.
%(hintMessage_12_please_enter_20_highlighted)%	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '18' in the highlighted field.	Por favor, ingrese '18' en el campo resaltado.	Please enter '5' in the highlighted field.	Por favor, ingrese '5' en el campo resaltado.	Please enter '7' in the highlighted field.	Por favor, ingrese '7' en el campo resaltado.	Please enter '3' in the highlighted field.	Por favor, ingrese '3' en el campo resaltado.	Please enter '5' in the highlighted field.	Por favor, ingrese '5' en el campo resaltado.	Please enter '1826' in the highlighted field.	"¿Qué número le dio el paso ""mostrar su trabajo""?"	Please enter '17' in the highlighted field.	Por favor, ingrese '17' en el campo resaltado.
%(hintMessage_16_whats_answer_mathematical_expression)%	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?
%(hintMessage_15_please_enter_2010_highlighted)%	Please enter '20*10' in the highlighted field.	Por favor, ingrese '20 * 10 'en el campo resaltado.	Please enter '18*5' in the highlighted field.	Por favor, ingrese '18 * 5 'en el campo resaltado.	Please enter '5*4' in the highlighted field.	Por favor, ingrese '5 * 4' en el campo resaltado.	Please enter '7*7' in the highlighted field.	Por favor, ingrese '7*7' en el campo resaltado.	Please enter '3*5' in the highlighted field.	Por favor, ingrese '3 * 5' en el campo resaltado.	Please enter '5*10' in the highlighted field.	Por favor, ingrese '5*10' en el campo resaltado.	Please enter '1826*3' in the highlighted field.	Por favor, ingrese '1826 * 3' en el campo resaltado.	Please enter '17*15' in the highlighted field.	Por favor, ingrese '17 * 15 'en el campo resaltado.
%(hintMessage_14_try_multiplying_previous_answer)%	Try multiplying your previous answer by the number of parts already driven.	Intente multiplicar su respuesta anterior por el número de partes ya manejadas.	Try multiplying your previous answer by the number of total parts of his workout.	Intente multiplicar su respuesta anterior por el número total de partes de su entrenamiento.	Try multiplying your previous answer by 4.	Intente multiplicar su respuesta anterior por 4.	Try multiplying your previous answer by 7.	Intente multiplicar su respuesta anterior por 7.	Try multiplying your previous answer by 5.	Intente multiplicar su respuesta anterior por 5.	Try multiplying your previous answer by 10.	Intente multiplicar su respuesta anterior por 10.	Try multiplying your previous answer by 3.	Intente multiplicar su respuesta anterior por 3.	Try multiplying your previous answer by the total number of parts into which the boxes of cookies have been divided.	Intente multiplicar su respuesta anterior por el número total de partes en las que se han dividido las cajas de galletas.
%(hintMessage_24_please_enter_60_highlighted)%	Please enter '60' in the highlighted field.	Por favor, ingrese '60' en el campo resaltado.	Please enter '18' in the highlighted field.	Por favor, ingrese '18' en el campo resaltado.	Please enter '5' in the highlighted field.	Por favor, ingrese '5' en el campo resaltado.	Please enter '7' in the highlighted field.	Por favor, ingrese '7' en el campo resaltado.	Please enter '6' in the highlighted field.	Por favor, ingrese '6' en el campo resaltado.	Please enter '5' in the highlighted field.	Por favor, ingrese '5' en el campo resaltado.	Please enter '1826' in the highlighted field.	"¿Qué número le dio el paso ""mostrar su trabajo""?"	Please enter '68' in the highlighted field.	Por favor ingrese '68' en el campo resaltado.
%(hintMessage_3_please_enter_140_highlighted)%	Please enter '140' in the highlighted field.	Por favor, ingrese '140' en el campo resaltado.	Please enter '72' in the highlighted field.	Por favor, introduzca '72' en el campo resaltado.	Please enter '15' in the highlighted field.	Por favor, introduzca '15' en el campo resaltado.	Please enter '42' in the highlighted field.	Por favor, ingrese '42' en el campo resaltado.	Please enter '9' in the highlighted field.	Por favor, introduzca '9' en el campo resaltado.	Please enter '45' in the highlighted field.	Por favor, ingrese '45' en el campo resaltado.	Please enter '3652' in the highlighted field.	Por favor, ingrese '3652' en el campo resaltado.	Please enter '187' in the highlighted field.	Por favor, introduzca '187' en el campo resaltado.
%(hintMessage_10_whats_answer_mathematical_expression)%	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?
%(hintMessage_8_try_dividing_one_givens)%	Try dividing one of the givens by the total number of parts of distance.	Intente dividir uno de los datos dados por el número total de partes de la distancia.	Try dividing one of the givens by the number of parts of his workout already completed.	Intente dividir uno de los datos dados por el número de partes de su entrenamiento que ya completó.	Try dividing one of the givens by the number of parts completed.	Intente dividir uno de los datos dados por el número de partes completadas.	Try dividing one of the givens by the number of parts completed.	Intente dividir uno de los datos dados por el número de partes completadas.	Try dividing one of the givens by the number of parts filled.	Intente dividir uno de los dados por el número de partes llenas.	Try dividing one of the givens by the number of parts completed.	Intente dividir uno de los datos dados por el número de partes completadas.	Try dividing one of the givens by the number of parts completed.	Intente dividir uno de los datos dados por el número de partes completadas.	Try dividing one of the givens by the number of parts of boxes already sold.	Intente dividir uno de los dados por el número de partes de cajas ya vendidas.
%(hintMessage_1_given_number_problem_description)%	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema
%(hintMessage_4_given_number_problem_description)%	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema
%(hintMessage_9_please_enter_1407_highlighted)%	Please enter '140/7' in the highlighted field.	Por favor, introduzca '140/7' en el campo resaltado.	Please enter '72/4' in the highlighted field.	Por favor, ingrese '72 / 4 'en el campo resaltado.	Please enter '15/3' in the highlighted field.	Por favor, ingrese '15 / 3 'en el campo resaltado.	Please enter '42/6' in the highlighted field.	Por favor, ingrese '42 / 6 'en el campo resaltado.	Please enter '9/3' in the highlighted field.	Por favor, ingrese '9/3' en el campo resaltado.	Please enter '45/9' in the highlighted field.	Por favor, ingrese '45 / 9 'en el campo resaltado.	Please enter '3652/2' in the highlighted field.	Por favor, ingrese '3652/2' en el campo resaltado.	Please enter '187/11' in the highlighted field.	Por favor, ingrese '187/11' en el campo resaltado.
%(hintMessage_7_mathematical_expression_use_solve)%	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?
%(hintMessage_18_please_enter_200_highlighted)%	Please enter '200' in the highlighted field.	Por favor, ingrese '200' en el campo resaltado.	Please enter '90' in the highlighted field.	Por favor, ingrese '90' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '49' in the highlighted field.	Por favor, introduzca '49' en el campo resaltado.	Please enter '15' in the highlighted field.	Por favor, introduzca '15' en el campo resaltado.	Please enter '50' in the highlighted field.	Por favor, ingrese '50' en el campo resaltado.	Please enter '5478' in the highlighted field.	Por favor, ingrese '5478' en el campo resaltado.	Please enter '255' in the highlighted field.	Por favor, introduzca '255' en el campo resaltado.
%(hintMessage_19_mathematical_expression_use_solve)%	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?
%(hintMessage_2_number_problem_description_represents)%	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?
%(hintMessage_25_please_click_highlighted_button)%	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.
%(hintMessage_5_number_problem_description_represents)%	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?
%(hintMessage_23_number_show_work_step)%	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"
%(hintMessage_13_mathematical_expression_use_solve)%	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?
%(Input_9_numerdenom)%	7/10	[google]7/10	4/5	[google]4/5	3/4	[google]3/4	6/7	[google]6/7	3/5	[google]3/5	9/10	[google]9/10	2/3	[google]2/3	11/15	[google]15/11
%(Input_20_value5)%	%(value5)%	[google]%(valor5)%	%(value5)%	[google]%(valor5)%	%(value5)%	[google]%(valor5)%	%(value5)%	[google]%(valor5)%	%(value5)%	[google]%(valor5)%	%(value5)%	[google]%(valor5)%	%(value5)%	[google]%(valor5)%	%(value5)%	[google]%(valor5)%
%(Input_22_1)%	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
