Problem Name	Problem 8	Problem 8ESP	Problem 9	Problem 9ESP	Problem 10	Problem 10ESP	Problem 11	Problem 11ESP	Problem 16	Problem 16ESP	Problem 17	Problem 17ESP	Problem 18	Problem 18ESP	Problem 19	Problem 19ESP	Problem 20	Problem 20ESP
%(answer_skill2_shown)%	Solve for given part	Resolver para la parte dada	Solve for given part	Resolver para la parte dada	Solve for given part	Resolver para la parte dada	Solve for given part	Resolver para la parte dada	Solve for given part	Resolver para la parte dada	Solve for given part	Resolver para la parte dada	Solve for given part	Resolver para la parte dada	Solve for given part	Resolver para la parte dada	Solve for given part	Resolver para la parte dada
%(show_work_skill3_shown)%	Show work for remaining part	Mostrar trabajo para la parte restante	Show work for remaining part	Mostrar trabajo para la parte restante	Show work for remaining part	Mostrar trabajo para la parte restante	Show work for remaining part	Mostrar trabajo para la parte restante	Show work for remaining part	Mostrar trabajo para la parte restante	Show work for remaining part	Mostrar trabajo para la parte restante	Show work for remaining part	Mostrar trabajo para la parte restante	Show work for remaining part	Mostrar trabajo para la parte restante	Show work for remaining part	Mostrar trabajo para la parte restante
%(answer_skill3_shown)%	Solve for remaining part	Resolver para la parte restante	Solve for remaining part	Resolver para la parte restante	Solve for remaining part	Resolver para la parte restante	Solve for remaining part	Resolver para la parte restante	Solve for remaining part	Resolver para la parte restante	Solve for remaining part	Resolver para la parte restante	Solve for remaining part	Resolver para la parte restante	Solve for remaining part	Resolver para la parte restante	Solve for remaining part 	[google]Resolver para la parte restante
%(hintMessage_20_try_subtracting_previous_answer)%	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.	Try subtracting one of the givens and  your previous answer.	[CTAT]NAN	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.	Try subtracting your previous answer from one of the givens.	Intente restar su respuesta anterior de uno de los dados.
%(hintMessage_6_please_enter_23_highlighted)%	Please enter '2/3' in the highlighted field.	Por favor, ingrese '2/3' en el campo resaltado.	Please enter '5/9' in the highlighted field.	[CTAT]NAN	Please enter '5/8' in the highlighted field.	[CTAT]NAN	Please enter '2/3' in the highlighted field.	Por favor, ingrese '2/3' en el campo resaltado.	Please enter '4/5' in the highlighted field.	Por favor, ingrese '4/5' en el campo resaltado.	Please enter '5/6' in the highlighted field.	[CTAT]NAN	Please enter '5/8' in the highlighted field.	[CTAT]NAN	Please enter '15/16' in the highlighted field.	[CTAT]NAN	Please enter '3/10' in the highlighted field.	[CTAT]NAN
%(buggyMessage_1_correct)%	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.	No, this is not correct.	No, esto no es correcto.
%(hintMessage_17_number_show_work_step)%	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"
%(hintMessage_11_number_show_work_step)%	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"
%(hintMessage_22_whats_answer_mathematical_expression)%	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?
%(hintMessage_21_please_enter_64_highlighted)%	Please enter '6-4' in the highlighted field.	Por favor, ingrese '6-4' en el campo resaltado.	Please enter '27-15' in the highlighted field.	[CTAT]NAN	Please enter '720-450' in the highlighted field.	[CTAT]NAN	Please enter '45-30' in the highlighted field.	[CTAT]NAN	Please enter '25-20' in the highlighted field.	[CTAT]NAN	Please enter '120-100' in the highlighted field.	[CTAT]NAN	Please enter '32-20' in the highlighted field.	[CTAT]NAN	Please enter '400-375' in the highlighted field.	[CTAT]NAN	Please enter '60-18' in the highlighted field.	[CTAT]NAN
%(hintMessage_12_please_enter_2_highlighted)%	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '3' in the highlighted field.	Por favor, ingrese '3' en el campo resaltado.	Please enter '90' in the highlighted field.	Por favor, ingrese '90' en el campo resaltado.	Please enter '15' in the highlighted field.	Por favor, introduzca '15' en el campo resaltado.	Please enter '5' in the highlighted field.	Por favor, ingrese '5' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '4' in the highlighted field.	Por favor, ingrese '4' en el campo resaltado.	Please enter '25' in the highlighted field.	[CTAT]NAN	Please enter '6' in the highlighted field.	Por favor, ingrese '6' en el campo resaltado.
%(hintMessage_16_whats_answer_mathematical_expression)%	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?
%(hintMessage_15_please_enter_22_highlighted)%	Please enter '2*2 in the highlighted field.	Por favor, ingrese '2 * 2 en el campo resaltado.	Please enter '5*3' in the highlighted field.	[CTAT]NAN	Please enter '90*5' in the highlighted field.	[CTAT]NAN	Please enter '15*2' in the highlighted field.	[CTAT]NAN	Please enter '5*4' in the highlighted field.	Por favor, ingrese '5 * 4' en el campo resaltado.	Please enter '20*5' in the highlighted field.	[CTAT]NAN	Please enter '4*5' in the highlighted field.	[CTAT]NAN	Please enter '25*15' in the highlighted field.	[CTAT]NAN	Please enter '6*3' in the highlighted field.	[CTAT]NAN
%(hintMessage_14_try_multiplying_previous_answer)%	Try multiplying your previous answer by the number of parts of the ride that Amy has completed.	Intente multiplicar su respuesta anterior por la cantidad de partes del viaje que Amy ha completado.	Try multiplying your previous answer by the number of parts of the problems completed.	[CTAT]NAN	Try multiplying your previous answer by the number of parts of water already in the pool.	[CTAT]NAN	Try multiplying your previous answer by the number of parts of the fence already painted.	[CTAT]NAN	Try multiplying your previous answer by the number of parts of points already scored.	[CTAT]NAN	Try multiplying your previous answer by the number of parts of pounds already eaten.	[CTAT]NAN	Try multiplying your previous answer by the number of parts of minutes already completed.	[CTAT]NAN	Try multiplying your previous answer by the number of parts of copies already made.	[CTAT]NAN	Try multiplying your previous answer by the number of parts of brownies already made.	[CTAT]NAN
%(hintMessage_24_please_enter_2_highlighted)%	Please enter '2' in the highlighted field.	Por favor, ingrese '2' en el campo resaltado.	Please enter '12' in the highlighted field.	[CTAT]NAN	Please enter '270' in the highlighted field.	[CTAT]NAN	Please enter '15' in the highlighted field.	Por favor, introduzca '15' en el campo resaltado.	Please enter '5' in the highlighted field.	Por favor, ingrese '5' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '12' in the highlighted field.	[CTAT]NAN	Please enter '25' in the highlighted field.	[CTAT]NAN	Please enter '42' in the highlighted field.	Por favor, ingrese '42' en el campo resaltado.
%(hintMessage_3_please_enter_6_highlighted)%	Please enter '6' in the highlighted field.	Por favor, ingrese '6' en el campo resaltado.	Please enter '27' in the highlighted field.	[CTAT]NAN	Please enter '720' in the highlighted field.	[CTAT]NAN	Please enter '45' in the highlighted field.	Por favor, ingrese '45' en el campo resaltado.	Please enter '25' in the highlighted field.	[CTAT]NAN	Please enter '120' in the highlighted field.	[CTAT]NAN	Please enter '32' in the highlighted field.	[CTAT]NAN	Please enter '400' in the highlighted field.	Por favor, introduzca '400' en el campo resaltado.	Please enter '60' in the highlighted field.	Por favor, ingrese '60' en el campo resaltado.
%(hintMessage_10_whats_answer_mathematical_expression)%	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?	What's the answer to the mathematical expression you used in the previous step?	¿Cuál es la respuesta a la expresión matemática que usó en el paso anterior?
%(hintMessage_8_try_dividing_one_givens)%	Try dividing one of the givens by 3.	Intente dividir uno de los datos dados por 3.	Try dividing one of the givens by the total number of parts of the other given.	[CTAT]NAN	Try dividing one of the givens by the total number of parts of the other given.	[CTAT]NAN	Try dividing one of the givens by the total number of parts into which the fence has been divided.	[CTAT]NAN	Try dividing one of the givens by the total number of parts into which the points have been divided.	[CTAT]NAN	Try dividing one of the givens by the total number of parts into which the pounds of food have been divided.	[CTAT]NAN	Try dividing one of the givens by the total number of parts into which the length of the drill has been divided.	[CTAT]NAN	Try dividing one of the givens by the total number of parts into which the copies have been divided.	[CTAT]NAN	Try dividing one of the givens by the total number of parts into which the brownies have been divided.	[CTAT]NAN
%(hintMessage_1_given_number_problem_description)%	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema
%(hintMessage_4_given_number_problem_description)%	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema	This is a given number in the problem description	Este es un número dado en la descripción del problema
%(hintMessage_9_please_enter_63_highlighted)%	Please enter '6/3' in the highlighted field.	Por favor, ingrese '6/3' en el campo resaltado.	Please enter '27/9' in the highlighted field.	[CTAT]NAN	Please enter '720/8' in the highlighted field.	[CTAT]NAN	Please enter '45/3' in the highlighted field.	[CTAT]NAN	Please enter '25/5' in the highlighted field.	[CTAT]NAN	Please enter '120/6' in the highlighted field.	[CTAT]NAN	Please enter '32/8' in the highlighted field.	[CTAT]NAN	Please enter '400/16' in the highlighted field.	[CTAT]NAN	Please enter '60/10' in the highlighted field.	[CTAT]NAN
%(hintMessage_7_mathematical_expression_use_solve)%	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?
%(hintMessage_18_please_enter_4_highlighted)%	Please enter '4' in the highlighted field.	Por favor, ingrese '4' en el campo resaltado.	Please enter '15' in the highlighted field.	Por favor, introduzca '15' en el campo resaltado.	Please enter '450' in the highlighted field.	[CTAT]NAN	Please enter '30' in the highlighted field.	[CTAT]NAN	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '100' in the highlighted field.	[CTAT]NAN	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '375' in the highlighted field.	Por favor, ingrese '375' en el campo resaltado.	Please enter '18' in the highlighted field.	Por favor, ingrese '18' en el campo resaltado.
%(hintMessage_19_mathematical_expression_use_solve)%	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?
%(hintMessage_2_number_problem_description_represents)%	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?
%(hintMessage_25_please_click_highlighted_button)%	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.
%(hintMessage_5_number_problem_description_represents)%	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?	What number in the problem description represents the value in question?	¿Qué número en la descripción del problema representa el valor en cuestión?
%(hintMessage_23_number_show_work_step)%	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"	What number did the 'show your work' step give you?	"¿Qué número le dio el paso ""mostrar su trabajo""?"
%(hintMessage_13_mathematical_expression_use_solve)%	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?	What mathematical expression should you use to solve this problem?	¿Qué expresión matemática deberías usar para resolver este problema?
%(Input_9_numerdenom)%	2/3	[google]2/3	5/9	[google]5/9	5/8	[google]5/8	2/3	[google]2/3	4/5	[google]4/5	5/6	[google]5/6	5/8	[google]5/8	15/16	[google]15/16	3/10	[google]3/10
%(Input_11_givendenom)%	6/3	[google]6/3	27/9	[google]27/9	720/8	[google]720/8	45/3	[google]45/3	25/5	[google]25/5	120/6	[google]120/6	32/8	[google]32/8	400/16	[google]400/16	60/10	[google]60/10
%(Input_15_givennumerdenom)%	6*2/3	[google]6*2/3	27*5/9	[google]27*5/9	720*5/8	[google]720*5/8	45*2/3	[google]45*2/3	25*4/5	[google]25*4/5	120*5/6	[google]120*5/6	32*5/8	[google]32*5/8	400*15/16	[google]400*15/16	60*3/10	[google]60*3/10
%(Input_23_1)%	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
